type,start_time,end_time,duration,size,angular_velocities,positionLeft,positionRight
fixation,0.0,210.96,210.96,20,"[0.0, 0.0, 2.8698036408881142, 1.1305963707630926, 1.130640537830202, 3.026942175040235, 2.3525678630578986, 2.9749347899616114, 9.420945017238896, 9.336464393506722, 5.473378016185952, 17.44467309145884, 2.386481611089619, 2.998723181393144, 3.413574173617919, 2.060673111188053, 5.235246489554953, 15.779421982851504, 18.62266711866878, 13.694378663719752]","[[0.455390453338623, 0.4793732464313507], [0.455390453338623, 0.4793732464313507], [0.4554172456264496, 0.4788407683372497], [0.4551008343696594, 0.4798350632190704], [0.4567598104476928, 0.489325076341629], [0.4583368301391601, 0.4889565408229828], [0.4572775363922119, 0.4860412776470184], [0.4578901827335357, 0.4738821387290954], [0.4553301036357879, 0.469486266374588], [0.4553138315677643, 0.4695359766483307], [0.453673243522644, 0.4763230681419372], [0.4537777900695801, 0.4760259687900543], [0.4558946490287781, 0.4776660203933716], [0.454811155796051, 0.4773743450641632], [0.458287239074707, 0.4817025661468506], [0.4588578343391418, 0.4815185964107513], [0.4612625241279602, 0.4793499410152435], [0.4585999548435211, 0.4755438864231109], [0.4587047398090362, 0.4769545495510101], [0.4540413022041321, 0.4793631136417389]]","[[0.4601174294948578, 0.4917624294757843], [0.4601174294948578, 0.4917624294757843], [0.4609864056110382, 0.4931772649288177], [0.4603413343429565, 0.4937876760959625], [0.4597560465335846, 0.4936905205249786], [0.4600982666015625, 0.4950199723243713], [0.4586562514305115, 0.4966984391212463], [0.4587001204490661, 0.4944713413715362], [0.4571362435817718, 0.4939826428890228], [0.4602473676204681, 0.4909833967685699], [0.4599505662918091, 0.4945230185985565], [0.4608642160892486, 0.4927892982959747], [0.4589351415634155, 0.489924818277359], [0.460322231054306, 0.485441118478775], [0.4608603715896606, 0.4853341281414032], [0.458585649728775, 0.4857297539710998], [0.4569815397262573, 0.4885977506637573], [0.4552242159843445, 0.4902975559234619], [0.4585249722003937, 0.4876004457473755], [0.457608163356781, 0.4869638681411743]]"
fixation,222.063,244.269,22.206000000000017,3,"[3.478629774049855, 3.478629774049855, 5.920842188737806]","[[0.4555706679821014, 0.4849066734313965], [0.4555706679821014, 0.4849066734313965], [0.4581399857997894, 0.4836907684803009]]","[[0.4555962383747101, 0.4871230125427246], [0.4555962383747101, 0.4871230125427246], [0.4575031697750091, 0.4894558191299438]]"
fixation,255.372,377.507,122.13499999999999,12,"[2.2508123404947415, 2.2508123404947415, 3.878943686020564, 12.065448813592482, 2.6230491504881943, 1.7156310096279423, 5.202414810188512, 2.1554415648417287, 2.952962356116001, 9.217199277636967, 11.384638789173422, 8.955690859907461]","[[0.4574826061725616, 0.4825658202171325], [0.4574826061725616, 0.4825658202171325], [0.4562315344810486, 0.4873434901237488], [0.4556822478771209, 0.4929645359516144], [0.454784095287323, 0.4973843991756439], [0.455115258693695, 0.496314138174057], [0.4584875404834747, 0.4927318394184112], [0.4567290544509887, 0.4929692149162292], [0.4570852816104889, 0.4903427362442016], [0.4534049928188324, 0.4903145432472229], [0.4552494287490845, 0.4859972596168518], [0.4561970829963684, 0.4943253099918365]]","[[0.4590412676334381, 0.4978890717029571], [0.4590412676334381, 0.4978890717029571], [0.4577057957649231, 0.4965427815914154], [0.457484483718872, 0.5000311136245728], [0.4558810293674469, 0.4948347806930542], [0.4553701877593994, 0.4979975521564483], [0.4562984108924866, 0.4964246749877929], [0.4556878507137298, 0.499835342168808], [0.4565142393112182, 0.4979614019393921], [0.4544390738010406, 0.5002719759941101], [0.4552857279777527, 0.4996806979179382], [0.4551416337490082, 0.5018676519393921]]"
fixation,388.61,610.672,222.062,21,"[7.862945992252904, 7.862945992252904, 3.8190192887595202, 5.232218346330459, 2.281432995380076, 2.3206335270394387, 7.056755506820068, 2.1139417206031017, 0.6430766483957532, 0.647712334264818, 1.4144364035130559, 2.419403468861367, 9.393890281009, 5.12604710653862, 6.027931511567708, 12.608426419785912, 6.371125173077568, 3.3123246484360322, 3.585003480115514, 3.97245289974715, 9.579654594531174]","[[0.4564249515533447, 0.5045419335365295], [0.4564249515533447, 0.5045419335365295], [0.4541478157043457, 0.495357483625412], [0.4541819989681244, 0.4963257610797882], [0.4560427963733673, 0.4938049912452698], [0.456043541431427, 0.4921984374523163], [0.4564752876758575, 0.4903017878532409], [0.4555518627166748, 0.4907354712486267], [0.4558585584163666, 0.4927643537521362], [0.4548848867416382, 0.4930247068405151], [0.4528884291648865, 0.4954752624034881], [0.4528721272945404, 0.5010010004043579], [0.4536950886249542, 0.5060367584228516], [0.4560533463954925, 0.5033137202262878], [0.4550527036190033, 0.504263162612915], [0.4543339014053345, 0.5007542371749878], [0.4535083770751953, 0.5018725395202637], [0.4527642726898193, 0.5005159378051758], [0.4531489312648773, 0.5038676261901855], [0.4613023400306701, 0.4922709465026855], [0.4746421277523041, 0.4604965448379516]]","[[0.4563981592655182, 0.4980911910533905], [0.4563981592655182, 0.4980911910533905], [0.4555207788944244, 0.4981871843338012], [0.4562385380268097, 0.4964836239814758], [0.455405443906784, 0.4992999136447906], [0.4555704593658447, 0.4989279508590698], [0.4551308453083038, 0.5015928745269775], [0.4550642967224121, 0.5003731846809387], [0.4557352066040039, 0.5014197826385498], [0.4549281299114227, 0.5000346899032593], [0.4538066387176513, 0.4990801811218261], [0.4536511898040771, 0.4984425008296966], [0.453805923461914, 0.498238056898117], [0.454830527305603, 0.5013797283172607], [0.4532292187213897, 0.5005887746810913], [0.4531698524951935, 0.4998794794082641], [0.4524525701999664, 0.4991287887096405], [0.45175501704216, 0.5010108351707458], [0.4509765207767486, 0.5047953724861145], [0.4595077335834503, 0.5004786252975464], [0.4825161397457123, 0.4683379232883453]]"
fixation,621.775,632.879,11.104000000000042,2,"[11.755909512127452, 11.755909512127452]","[[0.5158504843711853, 0.3261344730854034], [0.5158504843711853, 0.3261344730854034]]","[[0.5310871601104736, 0.3500826954841614], [0.5310871601104736, 0.3500826954841614]]"
fixation,643.982,666.188,22.206000000000017,3,"[18.62032543472666, 18.62032543472666, 14.892272927610996]","[[0.5194528102874756, 0.3216757774353027], [0.5194528102874756, 0.3216757774353027], [0.5206344723701477, 0.3208497166633606]]","[[0.525833785533905, 0.3321901857852936], [0.525833785533905, 0.3321901857852936], [0.5253491997718811, 0.334080696105957]]"
saccade,677.291,688.394,11.102999999999952,2,"[35.07403239970341, 35.07403239970341]","[[0.5268298983573914, 0.3265537023544311], [0.5268298983573914, 0.3265537023544311]]","[[0.5260728597640991, 0.3320945203304291], [0.5260728597640991, 0.3320945203304291]]"
fixation,699.497,977.075,277.5780000000001,26,"[12.709431639664283, 12.709431639664283, 11.995608661640166, 6.131687602029984, 3.130239993260438, 13.443794428385708, 6.0405620672782305, 4.049082217897323, 9.023255502956427, 3.6624254004905574, 6.10478747492128, 15.0957017743151, 5.529016614289837, 3.2913525013160965, 8.933024100780395, 2.757187601074845, 0.7062499914862178, 4.435323938056991, 1.468249287635339, 4.847315093149949, 7.08522500945074, 2.464168826309569, 3.423959526402088, 11.676451774652708, 10.863905943741123, 11.829959557927921]","[[0.5265960693359375, 0.3264352679252624], [0.5265960693359375, 0.3264352679252624], [0.5240005254745483, 0.3165009617805481], [0.5227780938148499, 0.3192651271820068], [0.5242104530334473, 0.3197259902954101], [0.5250392556190491, 0.3241347968578338], [0.5250133275985718, 0.3244367837905884], [0.5236265659332275, 0.3201659619808197], [0.5227218270301819, 0.3194672465324402], [0.5228466987609863, 0.3132376670837402], [0.5231047868728638, 0.3119249045848846], [0.5233500003814697, 0.3107690215110779], [0.5234801173210144, 0.3187417387962341], [0.5251228213310242, 0.3254395425319671], [0.5264648199081421, 0.3269131779670715], [0.5286617875099182, 0.3262458741664886], [0.528751790523529, 0.3250768184661865], [0.5260377526283264, 0.3372690379619598], [0.5258698463439941, 0.3382772207260132], [0.5257555246353149, 0.3380407392978668], [0.5248988270759583, 0.3367874920368194], [0.5240139365196228, 0.3320808410644531], [0.5263189673423767, 0.3312495648860931], [0.5297686457633972, 0.3315567970275879], [0.5316370129585266, 0.334678590297699], [0.5321801900863647, 0.3347751498222351]]","[[0.5259565114974976, 0.3350635468959808], [0.5259565114974976, 0.3350635468959808], [0.5248743295669556, 0.3355969190597534], [0.5243045687675476, 0.335175096988678], [0.5242516398429871, 0.3373436629772186], [0.524183452129364, 0.3414100706577301], [0.5246880650520325, 0.3405833542346954], [0.5250818729400635, 0.3395588994026184], [0.5243301391601562, 0.3381755650043487], [0.5238635540008545, 0.3403135538101196], [0.5240995287895203, 0.3408996164798736], [0.5217053890228271, 0.3398798704147339], [0.5229008793830872, 0.3390963077545166], [0.5220703482627869, 0.3409533500671386], [0.5228160619735718, 0.3375464081764221], [0.523004412651062, 0.3386014401912689], [0.5227928757667542, 0.3359677791595459], [0.522931694984436, 0.3345182538032532], [0.5231324434280396, 0.334597647190094], [0.5242166519165039, 0.3361276090145111], [0.525137186050415, 0.338026762008667], [0.5234110951423645, 0.3386832475662231], [0.5243597030639648, 0.3390098512172699], [0.5250351428985596, 0.3353864252567291], [0.5259931087493896, 0.3377858400344848], [0.5273860096931458, 0.3396609723567962]]"
fixation,988.179,1010.385,22.206000000000017,3,"[17.002915114379967, 17.002915114379967, 13.196269289794486]","[[0.5283438563346863, 0.324881762266159], [0.5283438563346863, 0.324881762266159], [0.5272817015647888, 0.3246372044086456]]","[[0.5276232361793518, 0.3405466973781585], [0.5276232361793518, 0.3405466973781585], [0.5241553783416748, 0.3417137265205383]]"
fixation,1021.488,1043.694,22.205999999999904,3,"[17.36025543726531, 17.36025543726531, 19.601707316962788]","[[0.5273813605308533, 0.3331999778747558], [0.5273813605308533, 0.3331999778747558], [0.5263263583183289, 0.3373847007751465]]","[[0.5247092843055725, 0.3425509035587311], [0.5247092843055725, 0.3425509035587311], [0.5240335464477539, 0.3412546813488006]]"
