type,start_time,end_time,duration,size,angular_velocities,positionLeft,positionRight
fixation,0.0,233.165,233.165,22,"[0.0, 0.0, 0.0, 4.581114573810863, 7.314438328455491, 0.0, 4.88054442835255, 6.541405013959408, 0.0, 6.118203653815257, 10.799546902745977, 0.0, 4.763334148056444, 6.147372348412281, 0.0, 3.8579963200298004, 16.33186213500267, 0.0, 9.054450926898921, 18.215078720666874, 0.0, 13.707650642691085]","[[0.9090280532836914, 0.8985070586204529], [0.9090280532836914, 0.8985070586204529], [0.9090280532836914, 0.8985070586204529], [0.9095304608345032, 0.8937201499938965], [0.9070981740951538, 0.8965631127357483], [0.9070981740951538, 0.8965631127357483], [0.9074523448944092, 0.9000157713890076], [0.9064866900444032, 0.8954340219497681], [0.9064866900444032, 0.8954340219497681], [0.903766393661499, 0.8964589238166809], [0.9018487334251404, 0.8983922600746155], [0.9018487334251404, 0.8983922600746155], [0.9032469391822816, 0.8974139094352722], [0.902646005153656, 0.8979862928390503], [0.902646005153656, 0.8979862928390503], [0.9017878770828248, 0.8967565894126892], [0.901799738407135, 0.8982523083686829], [0.901799738407135, 0.8982523083686829], [0.9017058610916138, 0.9021138548851012], [0.9010849595069884, 0.9026938676834106], [0.9010849595069884, 0.9026938676834106], [0.8998667597770691, 0.8996920585632324]]","[[0.9072700142860411, 0.9451982378959656], [0.9072700142860411, 0.9451982378959656], [0.9057273864746094, 0.942659080028534], [0.9057273864746094, 0.942659080028534], [0.9060566425323486, 0.9400293231010436], [0.9082478880882264, 0.9395112991333008], [0.9082478880882264, 0.9395112991333008], [0.9098259806632996, 0.9428041577339172], [0.9088972806930542, 0.9421409964561462], [0.9088972806930542, 0.9421409964561462], [0.9090105891227722, 0.9434351921081544], [0.9093862771987916, 0.946804940700531], [0.9093862771987916, 0.946804940700531], [0.9080894589424132, 0.9405921697616576], [0.908692181110382, 0.941705286502838], [0.908692181110382, 0.941705286502838], [0.9092674255371094, 0.94535094499588], [0.907425820827484, 0.9421089291572572], [0.907425820827484, 0.9421089291572572], [0.907092273235321, 0.942810356616974], [0.9079131484031676, 0.9434645175933838], [0.9079131484031676, 0.9434645175933838]]"
fixation,244.268,266.475,22.207000000000022,3,"[0.0, 0.0, 18.934285773475715]","[[0.9023017287254332, 0.897574245929718], [0.9023017287254332, 0.897574245929718], [0.9034172892570496, 0.8977406620979309]]","[[0.9106679558753968, 0.936766505241394], [0.9106679558753968, 0.936766505241394], [0.9106679558753968, 0.936766505241394]]"
fixation,277.578,366.403,88.82500000000005,9,"[0.0, 0.0, 5.2171871940860175, 2.5946583579222753, 0.0, 3.879887518829415, 13.276817217372002, 0.0, 9.159740064842971]","[[0.902288258075714, 0.8926833868026733], [0.902288258075714, 0.8926833868026733], [0.9019913077354432, 0.8925763964653015], [0.9035381078720092, 0.8943462371826172], [0.9035381078720092, 0.8943462371826172], [0.9034833908081056, 0.8918517231941223], [0.900956392288208, 0.8899642825126648], [0.900956392288208, 0.8899642825126648], [0.8994773030281067, 0.8943936228752136]]","[[0.9099146723747252, 0.9315452575683594], [0.9099146723747252, 0.9315452575683594], [0.9099146723747252, 0.9315452575683594], [0.9085251092910768, 0.9304808974266052], [0.910228431224823, 0.9340552687644958], [0.910228431224823, 0.9340552687644958], [0.9105287790298462, 0.9326330423355104], [0.9087854623794556, 0.9303843379020692], [0.9087854623794556, 0.9303843379020692]]"
fixation,377.506,499.64,122.13400000000001,12,"[0.0, 0.0, 2.002756912168941, 4.27573381239795, 0.0, 1.0798611552218071, 10.297730603232692, 0.0, 6.498630841308124, 12.277826391622414, 2.8465790966896622, 16.647183071738606]","[[0.8996802568435669, 0.8922867774963379], [0.8996802568435669, 0.8922867774963379], [0.8987561464309692, 0.8966862559318542], [0.8992284536361694, 0.8983777165412903], [0.8992284536361694, 0.8983777165412903], [0.9003921747207642, 0.8932808637619019], [0.9019606113433838, 0.8930585980415344], [0.9019606113433838, 0.8930585980415344], [0.9028128981590272, 0.8948525786399841], [0.9012631773948668, 0.8975927233695984], [0.9031839966773988, 0.8984658122062683], [0.9030284881591796, 0.8986783623695374]]","[[0.9082785248756408, 0.9326301217079164], [0.9082785248756408, 0.9326301217079164], [0.9082785248756408, 0.9326301217079164], [0.9118525385856628, 0.9401597380638124], [0.9106897711753844, 0.9407653212547302], [0.9106897711753844, 0.9407653212547302], [0.9095253348350524, 0.9398182034492492], [0.9113149046897888, 0.9396241903305054], [0.9113149046897888, 0.9396241903305054], [0.912019670009613, 0.9414830207824708], [0.9102762341499328, 0.9411933422088624], [0.9102762341499328, 0.9411933422088624]]"
fixation,510.743,566.259,55.51600000000002,6,"[1.0156936033468533, 1.0156936033468533, 3.597245927982886, 3.974618564586547, 2.2901932051242255, 11.199776752187649]","[[0.90155428647995, 0.8956769704818726], [0.90155428647995, 0.8956769704818726], [0.9019360542297364, 0.8968898057937622], [0.9031678438186646, 0.8967981934547424], [0.904616117477417, 0.8972275257110596], [0.9043749570846558, 0.8951179385185242]]","[[0.910532772541046, 0.939950704574585], [0.910532772541046, 0.939950704574585], [0.910532772541046, 0.939950704574585], [0.910278856754303, 0.9400824308395386], [0.9119128584861756, 0.9396413564682008], [0.9119128584861756, 0.9396413564682008]]"
fixation,577.362,699.496,122.13400000000001,12,"[0.6611902181590611, 0.6611902181590611, 3.0466628825782345, 5.374563127287506, 0.0, 4.633976210571844, 5.9467984394569315, 0.0, 3.264696063719524, 5.7358086710520615, 0.0, 7.6165111908017025]","[[0.9032160639762878, 0.8954076766967773], [0.9032160639762878, 0.8954076766967773], [0.9035276174545288, 0.8943004608154297], [0.9044486880302428, 0.8969603776931763], [0.9044486880302428, 0.8969603776931763], [0.9052897095680236, 0.8966951966285706], [0.9050696492195128, 0.8953964710235596], [0.9050696492195128, 0.8953964710235596], [0.9034502506256104, 0.8989872932434082], [0.9010027050971984, 0.885924220085144], [0.9010027050971984, 0.885924220085144], [0.8986275792121887, 0.8626623749732971]]","[[0.9089345932006836, 0.9373220801353456], [0.9089345932006836, 0.9373220801353456], [0.9089345932006836, 0.9373220801353456], [0.9078531265258788, 0.9311686158180236], [0.9091614484786988, 0.929556131362915], [0.9091614484786988, 0.929556131362915], [0.9101486802101136, 0.9334867596626282], [0.9112345576286316, 0.9357838034629822], [0.9112345576286316, 0.9357838034629822], [0.9112560153007508, 0.9221261143684388], [0.9069154858589172, 0.9023955464363098], [0.9069154858589172, 0.9023955464363098]]"
fixation,710.6,965.971,255.37099999999998,24,"[0.0, 0.0, 13.376811714936245, 12.525689673686836, 0.0, 7.520846365269925, 8.659599499411934, 0.0, 6.557758082663491, 15.548201528475948, 0.0, 3.4729467175765585, 6.4051107606198245, 0.0, 2.579954595203899, 11.713820452819535, 0.0, 5.714700238317257, 4.558842544062775, 0.0, 2.2042259134450597, 12.02321301633458, 0.0, 14.496284514635438]","[[0.899982213973999, 0.8366333842277527], [0.899982213973999, 0.8366333842277527], [0.9020590782165528, 0.8401361703872681], [0.9055941104888916, 0.8353655934333801], [0.9055941104888916, 0.8353655934333801], [0.9054979681968688, 0.8314385414123535], [0.9005467295646667, 0.8331660032272339], [0.9005467295646667, 0.8331660032272339], [0.8991502523422241, 0.8341771960258484], [0.900498628616333, 0.8333059549331665], [0.900498628616333, 0.8333059549331665], [0.9001606106758118, 0.8357337713241577], [0.9001421928405762, 0.8377647995948792], [0.9001421928405762, 0.8377647995948792], [0.898189902305603, 0.8399766087532043], [0.9011938571929932, 0.8419315814971924], [0.9011938571929932, 0.8419315814971924], [0.9105488061904908, 0.8577494621276855], [0.9158298373222352, 0.895646333694458], [0.9158298373222352, 0.895646333694458], [0.9156925678253174, 0.8973683714866638], [0.913850486278534, 0.8973134756088257], [0.913850486278534, 0.8973134756088257], [0.9115293622016908, 0.8972957730293274]]","[[0.9023004770278932, 0.8738538026809692], [0.9023004770278932, 0.8738538026809692], [0.9023004770278932, 0.8738538026809692], [0.9020017385482788, 0.8753824830055237], [0.9008339047431946, 0.8723870515823364], [0.9008339047431946, 0.8723870515823364], [0.8996843099594116, 0.8736464381217957], [0.9027329087257384, 0.8747225403785706], [0.9027329087257384, 0.8747225403785706], [0.9043051600456238, 0.8718070983886719], [0.9024667143821716, 0.8677808046340942], [0.9024667143821716, 0.8677808046340942], [0.9014069437980652, 0.871907651424408], [0.8995727896690369, 0.8737093806266785], [0.8995727896690369, 0.8737093806266785], [0.8790372610092163, 0.8789251446723938], [0.9063781499862672, 0.9259101748466492], [0.9063781499862672, 0.9259101748466492], [0.9222551584243774, 0.9171443581581116], [0.9204434156417848, 0.9214377403259276], [0.9204434156417848, 0.9214377403259276], [0.9190059304237366, 0.9218552708625792], [0.9209550619125366, 0.9230819940567015], [0.9209550619125366, 0.9230819940567015]]"
fixation,977.075,1032.59,55.51499999999987,6,"[0.0, 0.0, 8.84612838725809, 8.889338827279095, 3.394100316619497, 13.487817693917755]","[[0.9112202525138856, 0.8997289538383484], [0.9112202525138856, 0.8997289538383484], [0.909309446811676, 0.9001696109771729], [0.912860870361328, 0.8994075059890747], [0.9132074117660522, 0.9004378914833069], [0.9123597741127014, 0.8974206447601318]]","[[0.916979432106018, 0.9241287112236024], [0.916979432106018, 0.9241287112236024], [0.916979432106018, 0.9241287112236024], [0.8944132924079895, 0.9357380270957948], [0.9018643498420716, 0.9374141693115234], [0.9018643498420716, 0.9374141693115234]]"
fixation,1043.693,1099.209,55.516000000000076,6,"[0.5383007047931211, 0.5383007047931211, 2.277158704064002, 2.9986025941804746, 0.0, 10.777000510277345]","[[0.9115060567855836, 0.8958404064178467], [0.9115060567855836, 0.8958404064178467], [0.9130516648292542, 0.8978098034858704], [0.9123015999794006, 0.8967737555503845], [0.9123015999794006, 0.8967737555503845], [0.9124377965927124, 0.8961596488952637]]","[[0.921699285507202, 0.9277095198631288], [0.921699285507202, 0.9277095198631288], [0.921699285507202, 0.9277095198631288], [0.922090709209442, 0.9269944429397584], [0.920120656490326, 0.9210198521614076], [0.920120656490326, 0.9210198521614076]]"
fixation,1110.312,1132.518,22.20600000000013,3,"[0.0, 0.0, 13.59806118900252]","[[0.912227749824524, 0.8914613723754883], [0.912227749824524, 0.8914613723754883], [0.9131520986557008, 0.887357234954834]]","[[0.9206793308258056, 0.9221633076667786], [0.9206793308258056, 0.9221633076667786], [0.9206793308258056, 0.9221633076667786]]"
