type,start_time,end_time,duration,size,angular_velocities,positionLeft,positionRight
fixation,0.0,55.516,55.516,6,"[0.0, 0.0, 10.989678394242885, 17.453488592238998, 5.7404655549485515, 12.334930581393726]","[[0.7035768032073975, 0.4243238866329193], [0.7035768032073975, 0.4243238866329193], [0.702936053276062, 0.4220626056194305], [0.7037369012832642, 0.4175396263599396], [0.7050074338912964, 0.4264011085033417], [0.7116981744766235, 0.454506903886795]]","[[0.7043966054916382, 0.4315834045410156], [0.7043966054916382, 0.4315834045410156], [0.704797089099884, 0.4303586184978485], [0.7059789896011353, 0.4328995645046234], [0.7049140334129333, 0.4453018307685852], [0.7063350081443787, 0.4820244014263153]]"
fixation,66.619,88.825,22.206000000000003,3,"[17.90576371139398, 17.90576371139398, 14.362068505571905]","[[0.7446479797363281, 0.5961189866065979], [0.7446479797363281, 0.5961189866065979], [0.7429028153419495, 0.6408299207687378]]","[[0.7305213212966919, 0.6284762620925903], [0.7305213212966919, 0.6284762620925903], [0.7319763898849487, 0.7434305548667908]]"
saccade,99.928,133.238,33.31,4,"[20.50305625121705, 20.50305625121705, 37.51438696681119, 41.71885893805288]","[[0.7357892394065857, 0.7298030853271484], [0.7357892394065857, 0.7298030853271484], [0.7366735339164734, 0.7331025004386902], [0.737043559551239, 0.7290045619010925]]","[[0.7278426289558411, 0.7696687579154968], [0.7278426289558411, 0.7696687579154968], [0.7278549671173096, 0.7723129987716675], [0.7297508716583252, 0.7690569162368774]]"
fixation,144.341,310.888,166.54699999999997,16,"[6.377562796606765, 6.377562796606765, 11.60089786031649, 7.060115036026766, 11.349753832778045, 13.637568084085128, 1.670035486890522, 2.135506283100464, 2.628441488216545, 2.0919669960251266, 5.9904680928914145, 10.825262004945282, 3.761199450109381, 5.356406086700183, 13.019368125821533, 7.38191144984562]","[[0.7370417714118958, 0.725468099117279], [0.7370417714118958, 0.725468099117279], [0.7377510666847229, 0.7282161116600037], [0.7370185852050781, 0.7341822385787964], [0.7386337518692017, 0.7339999675750732], [0.7386109828948975, 0.7278419733047485], [0.739354133605957, 0.7240076661109924], [0.7380111813545227, 0.7279843091964722], [0.7387540340423584, 0.7335996627807617], [0.7399253249168396, 0.734443724155426], [0.742087185382843, 0.7349589467048645], [0.7400000691413879, 0.7318333983421326], [0.7409763336181641, 0.733031690120697], [0.737933337688446, 0.7328147292137146], [0.7350130081176758, 0.7443785667419434], [0.7280961275100708, 0.7710647583007812]]","[[0.728715717792511, 0.7730954885482788], [0.728715717792511, 0.7730954885482788], [0.7243770360946655, 0.7712500095367432], [0.7259718179702759, 0.7706678509712219], [0.725366473197937, 0.7691599726676941], [0.726534366607666, 0.7701572179794312], [0.7260859608650208, 0.7676302790641785], [0.7257049679756165, 0.7684020400047302], [0.72641521692276, 0.7661905884742737], [0.7257546186447144, 0.7656801342964172], [0.7263244390487671, 0.7659777998924255], [0.7251759171485901, 0.7714766263961792], [0.7248570919036865, 0.770191490650177], [0.7221379280090332, 0.7684127688407898], [0.7195934057235718, 0.7769347429275513], [0.7123093008995056, 0.8074765801429749]]"
saccade,321.991,366.403,44.412000000000035,5,"[44.2727044985669, 44.2727044985669, 32.621414980219456, 20.06390161392639, 32.08467263979228]","[[0.708530604839325, 0.8667158484458923], [0.708530604839325, 0.8667158484458923], [0.7065564393997192, 0.865912914276123], [0.7030765414237976, 0.8676074147224426], [0.705260157585144, 0.8682718276977539]]","[[0.6921665072441101, 0.9165719151496888], [0.6921665072441101, 0.9165719151496888], [0.6918920874595642, 0.9186262488365172], [0.6897245049476624, 0.9187402725219728], [0.6884962916374207, 0.9159688353538512]]"
fixation,377.507,555.157,177.65000000000003,17,"[3.284985759717331, 3.284985759717331, 5.966274893522692, 1.9255220957498322, 1.9393335438650818, 3.8045580847871214, 4.5671751789355195, 3.286530859220507, 8.038339543950793, 4.861405448036929, 4.08361878262528, 8.27775081163584, 4.30403194802827, 5.129148475848053, 9.877494245445064, 6.777639357132556, 11.324589915770444]","[[0.7046639323234558, 0.8713464140892029], [0.7046639323234558, 0.8713464140892029], [0.7041002511978149, 0.8690988421440125], [0.7048964500427246, 0.8669825792312622], [0.7089790105819702, 0.8664719462394714], [0.7074490785598755, 0.867160439491272], [0.7070994973182678, 0.8682223558425903], [0.7040520906448364, 0.8695583939552307], [0.7053079009056091, 0.8729146718978882], [0.7061061263084412, 0.8717570900917053], [0.7072009444236755, 0.8710942268371582], [0.7070803642272949, 0.8700211048126221], [0.7063701152801514, 0.8683739900588989], [0.7052516937255859, 0.8660513758659363], [0.7052335143089294, 0.866035521030426], [0.7064110040664673, 0.8653941750526428], [0.7033257484436035, 0.866776168346405]]","[[0.6879525780677795, 0.9160651564598083], [0.6879525780677795, 0.9160651564598083], [0.6865435242652893, 0.9218785166740416], [0.6867707371711731, 0.9253195524215698], [0.6873780488967896, 0.9264542460441588], [0.6880025863647461, 0.9276840090751648], [0.6881852746009827, 0.924390435218811], [0.6884535551071167, 0.9265536069869996], [0.6891634464263916, 0.9239735007286072], [0.6872422695159912, 0.9274327158927916], [0.6874056458473206, 0.9256735444068908], [0.6857297420501709, 0.923896849155426], [0.6875925660133362, 0.9204221963882446], [0.6894910931587219, 0.9194834232330322], [0.6903076767921448, 0.921485424041748], [0.6903358697891235, 0.9211231470108032], [0.6875848174095154, 0.9223289489746094]]"
fixation,566.26,588.466,22.206000000000017,3,"[13.606149951162005, 13.606149951162005, 10.662216580564005]","[[0.7028219103813171, 0.8736622929573059], [0.7028219103813171, 0.8736622929573059], [0.7066324353218079, 0.8673693537712097]]","[[0.6872678995132446, 0.9267390370368958], [0.6872678995132446, 0.9267390370368958], [0.6916253566741943, 0.9139263033866882]]"
fixation,599.569,721.703,122.13400000000001,12,"[13.69928632945338, 13.69928632945338, 6.5067593219419955, 14.424047064047622, 4.476604794626437, 5.584469384880752, 10.9058641665879, 6.231419643652874, 4.110441181726836, 15.329687324586871, 16.09070254865399, 13.92314457854874]","[[0.7150141596794128, 0.8134022355079651], [0.7150141596794128, 0.8134022355079651], [0.7181152105331421, 0.8071597814559937], [0.7159978747367859, 0.8217774033546448], [0.7165173888206482, 0.8177527189254761], [0.715300440788269, 0.815215528011322], [0.7141112089157104, 0.8150969743728638], [0.7135230898857117, 0.8167584538459778], [0.7134386897087097, 0.8167131543159485], [0.715497612953186, 0.8188601732254028], [0.7153688073158264, 0.8190550208091736], [0.7140877842903137, 0.8218810558319092]]","[[0.6941203474998474, 0.8796708583831787], [0.6941203474998474, 0.8796708583831787], [0.6965637803077698, 0.8769473433494568], [0.701008141040802, 0.8717899918556213], [0.7016966938972473, 0.8720302581787109], [0.7013999819755554, 0.8719689249992371], [0.7006994485855103, 0.8711490631103516], [0.6983233690261841, 0.8703721761703491], [0.6983582973480225, 0.8712071776390076], [0.6979940533638, 0.8716234564781189], [0.6973128318786621, 0.8696199655532837], [0.6973949074745178, 0.866100549697876]]"
fixation,732.807,755.013,22.206000000000017,3,"[14.105744247990511, 14.105744247990511, 17.288798768842597]","[[0.7147853374481201, 0.8188528418540955], [0.7147853374481201, 0.8188528418540955], [0.7158381342887878, 0.8186255693435669]]","[[0.6978358030319214, 0.8635380864143372], [0.6978358030319214, 0.8635380864143372], [0.6958485245704651, 0.8628994822502136]]"
fixation,766.116,788.322,22.206000000000017,3,"[7.34056721921781, 7.34056721921781, 12.395855943634771]","[[0.7183110117912292, 0.8197794556617737], [0.7183110117912292, 0.8197794556617737], [0.7200867533683777, 0.8160185217857361]]","[[0.6967673301696777, 0.8685778975486755], [0.6967673301696777, 0.8685778975486755], [0.6985380053520203, 0.8724710941314697]]"
fixation,799.425,854.941,55.516000000000076,6,"[8.16109695090191, 8.16109695090191, 4.430214866454121, 13.113804631749641, 10.672623288089051, 8.03639162299916]","[[0.7186101675033569, 0.8119402527809143], [0.7186101675033569, 0.8119402527809143], [0.715781033039093, 0.8161121606826782], [0.7163929343223572, 0.8163198828697205], [0.7159135937690735, 0.8169085383415222], [0.7170818448066711, 0.8214030265808105]]","[[0.6984009146690369, 0.8740946650505066], [0.6984009146690369, 0.8740946650505066], [0.7000913023948669, 0.8715683817863464], [0.6997575759887695, 0.8693773746490479], [0.6988900303840637, 0.8690140843391418], [0.6976699233055115, 0.871064305305481]]"
fixation,866.044,888.25,22.206000000000017,3,"[16.712117204082926, 16.712117204082926, 18.636033336961823]","[[0.7158560752868652, 0.8200471997261047], [0.7158560752868652, 0.8200471997261047], [0.7142224907875061, 0.8203492760658264]]","[[0.6947368383407593, 0.8705943822860718], [0.6947368383407593, 0.8705943822860718], [0.6936753392219543, 0.8699195981025696]]"
fixation,899.353,921.56,22.206999999999994,3,"[18.52699317809696, 18.52699317809696, 17.596539947782162]","[[0.7131009101867676, 0.8236976861953735], [0.7131009101867676, 0.8236976861953735], [0.7154523134231567, 0.8181451559066772]]","[[0.696822464466095, 0.8671619296073914], [0.696822464466095, 0.8671619296073914], [0.6972302198410034, 0.8657494783401489]]"
