type,start_time,end_time,duration,size,angular_velocities,positionLeft,positionRight
fixation,0.0,11.103,11.103,2,"[0.0, 0.0]","[[0.6515360474586487, 0.5629802346229553], [0.6515360474586487, 0.5629802346229553]]","[[0.6793694496154785, 0.546183705329895], [0.6793694496154785, 0.546183705329895]]"
saccade,22.206,144.341,122.135,12,"[45.83957327691246, 45.83957327691246, 53.6534463156553, 38.87399157777562, 30.50116191603985, 39.49088256311055, 27.173406999750352, 29.16147015006118, 34.38862151413905, 24.95244928005336, 23.1121397116771, 25.487231904150892]","[[0.6486333608627319, 0.5585882663726807], [0.6486333608627319, 0.5585882663726807], [0.6503613591194153, 0.5568023324012756], [0.64809650182724, 0.5613483786582947], [0.6502559781074524, 0.5614895224571228], [0.6487285494804382, 0.5576528906822205], [0.6533443331718445, 0.5603811740875244], [0.6498813629150391, 0.5677239298820496], [0.6524662375450134, 0.5661647319793701], [0.6529517769813538, 0.5668953657150269], [0.6549760103225708, 0.5541825890541077], [0.6546996831893921, 0.5588183403015137]]","[[0.6777713298797607, 0.5483815670013428], [0.6777713298797607, 0.5483815670013428], [0.6789835691452026, 0.5477068424224854], [0.6801169514656067, 0.5420327186584473], [0.677293062210083, 0.5449429154396057], [0.6787853240966797, 0.5501320958137512], [0.6762029528617859, 0.5565457940101624], [0.6796862483024597, 0.5567064881324768], [0.6795253157615662, 0.5526573657989502], [0.6782932281494141, 0.555084764957428], [0.6767035126686096, 0.5549968481063843], [0.6757651567459106, 0.5525869727134705]]"
fixation,155.444,199.856,44.412000000000006,5,"[8.658618964213366, 8.658618964213366, 10.162160820296116, 9.025337788009386, 8.455111929957377]","[[0.6513023376464844, 0.5664663910865784], [0.6513023376464844, 0.5664663910865784], [0.6508750915527344, 0.5675537586212158], [0.6483545303344727, 0.5635226964950562], [0.6534429788589478, 0.5629783868789673]]","[[0.6790929436683655, 0.5549322366714478], [0.6790929436683655, 0.5549322366714478], [0.6800932288169861, 0.5584399104118347], [0.6785094738006592, 0.5549010038375854], [0.6786293983459473, 0.5545792579650879]]"
saccade,210.96,277.578,66.61799999999997,7,"[32.4905431330167, 32.4905431330167, 42.68154233342232, 24.29949045939291, 24.262308232376704, 27.09521101595674, 25.846099439307896]","[[0.6969534158706665, 0.5923229455947876], [0.6969534158706665, 0.5923229455947876], [0.7089118361473083, 0.5957236886024475], [0.7075885534286499, 0.5893819332122803], [0.7068444490432739, 0.5885058045387268], [0.7064566612243652, 0.590745210647583], [0.70550537109375, 0.5932320356369019]]","[[0.7063790559768677, 0.587181568145752], [0.7063790559768677, 0.587181568145752], [0.7372151613235474, 0.6056108474731445], [0.7319089770317078, 0.6024945974349976], [0.7320936918258667, 0.6009144186973572], [0.731040358543396, 0.6030915379524231], [0.731925904750824, 0.6090125441551208]]"
fixation,288.681,310.888,22.206999999999994,3,"[13.902949583221691, 13.902949583221691, 12.414693449344876]","[[0.7048767805099487, 0.590686023235321], [0.7048767805099487, 0.590686023235321], [0.7049701809883118, 0.592486560344696]]","[[0.7292358875274658, 0.6052929759025574], [0.7292358875274658, 0.6052929759025574], [0.7298077940940857, 0.5986711978912354]]"
fixation,321.991,333.094,11.103000000000009,2,"[14.454624677290811, 14.454624677290811]","[[0.7034128308296204, 0.5946305394172668], [0.7034128308296204, 0.5946305394172668]]","[[0.7297701835632324, 0.6013069748878479], [0.7297701835632324, 0.6013069748878479]]"
saccade,344.197,377.506,33.30899999999997,4,"[21.069132604447336, 21.069132604447336, 31.469001513252294, 33.25741603689295]","[[0.7017746567726135, 0.5991305112838745], [0.7017746567726135, 0.5991305112838745], [0.7048652768135071, 0.6042295098304749], [0.707565426826477, 0.5971554517745972]]","[[0.7299833297729492, 0.6068857908248901], [0.7299833297729492, 0.6068857908248901], [0.7349010109901428, 0.607519268989563], [0.7334114909172058, 0.6068779230117798]]"
saccade,388.61,410.816,22.20599999999996,3,"[25.494124664792242, 25.494124664792242, 24.18574658195773]","[[0.7057828307151794, 0.5987157821655273], [0.7057828307151794, 0.5987157821655273], [0.705498456954956, 0.599327564239502]]","[[0.7340551018714905, 0.5980126261711121], [0.7340551018714905, 0.5980126261711121], [0.7349348068237305, 0.5961452722549438]]"
fixation,421.919,433.022,11.103000000000009,2,"[13.986997599574142, 13.986997599574142]","[[0.709233283996582, 0.5966222882270813], [0.709233283996582, 0.5966222882270813]]","[[0.7333837151527405, 0.6048163771629333], [0.7333837151527405, 0.6048163771629333]]"
saccade,444.125,555.156,111.03099999999995,11,"[37.6495955989674, 37.6495955989674, 36.86574731183705, 47.58500427280352, 30.579305468832278, 54.55754650043023, 39.35151631225898, 38.59248613588721, 25.346986596150764, 21.135104802552902, 29.2295218875227]","[[0.7090404033660889, 0.5953843593597412], [0.7090404033660889, 0.5953843593597412], [0.7076213359832764, 0.5969334244728088], [0.7046293616294861, 0.6031604409217834], [0.7030661702156067, 0.5996971726417542], [0.7032557129859924, 0.5951240658760071], [0.7071617841720581, 0.5938410758972168], [0.7106713056564331, 0.5965048670768738], [0.7146356701850891, 0.593329131603241], [0.7136997580528259, 0.5900334715843201], [0.7139368057250977, 0.5899161100387573]]","[[0.7327371835708618, 0.5946352481842041], [0.7327371835708618, 0.5946352481842041], [0.7329205274581909, 0.5958358645439148], [0.7340646982192993, 0.6006509065628052], [0.7322201728820801, 0.6098653674125671], [0.7290616035461426, 0.6170753836631775], [0.7297302484512329, 0.6203336119651794], [0.7345852255821228, 0.6147142052650452], [0.7396501898765564, 0.6089158654212952], [0.7357601523399353, 0.6046172380447388], [0.7317572832107544, 0.6068781018257141]]"
fixation,566.26,577.363,11.103000000000065,2,"[4.962429547393366, 4.962429547393366]","[[0.7113243341445923, 0.593605637550354], [0.7113243341445923, 0.593605637550354]]","[[0.7270380854606628, 0.6061154007911682], [0.7270380854606628, 0.6061154007911682]]"
saccade,588.466,688.394,99.928,10,"[30.460572331402346, 30.460572331402346, 47.143994870631076, 49.86529620380508, 54.02154321147234, 60.12095280420634, 28.846121815686917, 52.31265873889201, 25.169857711568316, 51.69578634179475]","[[0.7090674638748169, 0.5889776945114136], [0.7090674638748169, 0.5889776945114136], [0.7093180418014526, 0.5893003344535828], [0.7083640098571777, 0.5880807638168335], [0.70600825548172, 0.5896381735801697], [0.7043179869651794, 0.5910431146621704], [0.7044081687927246, 0.5936288237571716], [0.6985682249069214, 0.6007083058357239], [0.6574966311454773, 0.6297551989555359], [0.5989448428153992, 0.6625611186027527]]","[[0.7277966737747192, 0.6076833009719849], [0.7277966737747192, 0.6076833009719849], [0.7323117256164551, 0.6027731895446777], [0.7351899743080139, 0.6014671325683594], [0.7344864010810852, 0.6045880913734436], [0.7317119240760803, 0.6005851626396179], [0.7282726168632507, 0.600530207157135], [0.7225005030632019, 0.602168619632721], [0.6870251893997192, 0.6308161616325378], [0.6444405317306519, 0.6555095911026001]]"
saccade,699.497,766.116,66.61900000000003,7,"[21.425239556119042, 21.425239556119042, 93.60960991288715, 42.24117129426051, 25.313679367782502, 26.07243955349193, 44.0126352387791]","[[0.523130476474762, 0.7181599140167236], [0.523130476474762, 0.7181599140167236], [0.5229612588882446, 0.7240651845932007], [0.5153286457061768, 0.7261168360710144], [0.5146031975746155, 0.7300585508346558], [0.5167847275733948, 0.7245401740074158], [0.5165917277336121, 0.7204066514968872]]","[[0.5524387955665588, 0.7182714939117432], [0.5524387955665588, 0.7182714939117432], [0.5509454011917114, 0.7243350148200989], [0.5495724678039551, 0.7212578654289246], [0.5454100966453552, 0.7285670638084412], [0.5486204624176025, 0.7309665679931641], [0.5420082211494446, 0.7254002094268799]]"
fixation,777.219,810.528,33.30899999999997,4,"[7.301026097826782, 7.301026097826782, 9.493868314263041, 18.114595985769384]","[[0.5165595412254333, 0.7278121113777161], [0.5165595412254333, 0.7278121113777161], [0.5147108435630798, 0.7337292432785034], [0.5154480934143066, 0.7340692281723022]]","[[0.5441343784332275, 0.7238061428070068], [0.5441343784332275, 0.7238061428070068], [0.5488502383232117, 0.7271354794502258], [0.5482906699180603, 0.7267531156539917]]"
saccade,821.631,843.838,22.206999999999994,3,"[27.30066735645876, 27.30066735645876, 29.89242898083978]","[[0.5192617774009705, 0.7346892952919006], [0.5192617774009705, 0.7346892952919006], [0.5185077786445618, 0.7345325946807861]]","[[0.5425679683685303, 0.7288585305213928], [0.5425679683685303, 0.7288585305213928], [0.5394118428230286, 0.7269830107688904]]"
saccade,854.941,866.044,11.102999999999952,2,"[43.14538650927557, 43.14538650927557]","[[0.5161522030830383, 0.730742335319519], [0.5161522030830383, 0.730742335319519]]","[[0.5416821241378784, 0.7278252840042114], [0.5416821241378784, 0.7278252840042114]]"
