type,start_time,end_time,duration,size,angular_velocities,positionLeft,positionRight
fixation,0.0,11.103,11.103,2,"[0.0, 0.0]","[[0.4472215175628662, 0.3644051253795624], [0.4472215175628662, 0.3644051253795624]]","[[0.4495421051979065, 0.3519979119300842], [0.4495421051979065, 0.3519979119300842]]"
fixation,22.206,44.413,22.206999999999997,3,"[17.83767867246166, 17.83767867246166, 13.93078026281876]","[[0.4484248161315918, 0.3694307804107666], [0.4484248161315918, 0.3694307804107666], [0.4489390552043915, 0.3694139719009399]]","[[0.4530645608901977, 0.3509015142917633], [0.4530645608901977, 0.3509015142917633], [0.451980710029602, 0.3518704175949096]]"
fixation,55.516,355.3,299.784,28,"[10.144979901559665, 10.144979901559665, 5.313974423748888, 13.078224348177258, 4.746082311991355, 5.144467282553607, 11.119383131911752, 7.1700841277045635, 2.934067937393712, 17.009022519509287, 6.934033681252369, 6.085239042418696, 8.852806544628221, 6.607188884544146, 9.759786821994554, 12.624367794798017, 4.243442338983593, 3.447577790547322, 7.104691617398649, 4.297706915927409, 5.487918784821013, 8.71342331100589, 5.518742726786126, 4.221594746298268, 10.306526186376914, 2.5661699600028895, 7.545992861560006, 10.504547925136729]","[[0.4545147716999054, 0.3607006072998047], [0.4545147716999054, 0.3607006072998047], [0.4526380002498626, 0.3600404858589172], [0.4510207176208496, 0.3662656247615814], [0.448878675699234, 0.3699430227279663], [0.447363793849945, 0.3724488019943237], [0.4460956156253814, 0.3688012957572937], [0.4478925764560699, 0.3695626556873321], [0.4480378329753876, 0.37337327003479], [0.4491329789161682, 0.3762348294258117], [0.4461143612861633, 0.3813873827457428], [0.4462229013442993, 0.3819338679313659], [0.4475923478603363, 0.3746823370456695], [0.4455243349075317, 0.3691901564598083], [0.4471607804298401, 0.3690280616283417], [0.4495650827884674, 0.3776766359806061], [0.4514034986495971, 0.3823762238025665], [0.4514352977275848, 0.3872179687023163], [0.4468013942241668, 0.3862890005111694], [0.4467326402664184, 0.3865698873996734], [0.4435686469078064, 0.3803671002388], [0.4448074996471405, 0.3815169036388397], [0.4447086155414581, 0.3709251880645752], [0.4440833032131195, 0.3682054579257965], [0.4438547492027282, 0.3663061559200287], [0.4402339458465576, 0.3695162236690521], [0.4410107731819153, 0.3752965927124023], [0.4422813653945923, 0.375014990568161]]","[[0.4499058127403259, 0.359551340341568], [0.4499058127403259, 0.359551340341568], [0.4488858878612518, 0.3599093556404114], [0.4473863542079925, 0.3675059378147125], [0.44847372174263, 0.3683235347270965], [0.4481967687606811, 0.3681332170963287], [0.4504550099372864, 0.3636536002159118], [0.4502073228359222, 0.3638729453086853], [0.4517510831356048, 0.3614610731601715], [0.449657678604126, 0.3704037666320801], [0.4499179124832153, 0.3684670329093933], [0.4495026767253876, 0.3686264157295227], [0.4512937664985657, 0.3648810088634491], [0.4523528516292572, 0.3668527901172638], [0.4509495794773102, 0.3681733906269073], [0.4502628445625305, 0.3661142289638519], [0.4509447515010834, 0.3673839271068573], [0.4536704123020172, 0.3653859496116638], [0.4542408585548401, 0.3666202127933502], [0.4514096081256866, 0.3688977658748626], [0.4517944753170013, 0.3750152885913849], [0.4500388205051422, 0.3775335848331451], [0.450722873210907, 0.3772101104259491], [0.4519221186637878, 0.3726361691951751], [0.4543123245239258, 0.3641780316829681], [0.4561817944049835, 0.3590375781059265], [0.4544533789157867, 0.3630520701408386], [0.4487149119377136, 0.3679828345775604]]"
saccade,366.403,399.713,33.31,4,"[37.69638670396945, 37.69638670396945, 89.64549149545836, 20.724669172141624]","[[0.4774902760982513, 0.4919995963573456], [0.4774902760982513, 0.4919995963573456], [0.5116769671440125, 0.7159100770950317], [0.5216083526611328, 0.7869634628295898]]","[[0.4793036580085754, 0.4703647494316101], [0.4793036580085754, 0.4703647494316101], [0.5225207209587097, 0.6840067505836487], [0.5283883213996887, 0.7483788728713989]]"
saccade,410.816,433.022,22.206000000000017,3,"[35.4371369238633, 35.4371369238633, 34.39690236932029]","[[0.5175508856773376, 0.8354043364524841], [0.5175508856773376, 0.8354043364524841], [0.5203030109405518, 0.8361667394638062]]","[[0.5263631939888, 0.8051908016204834], [0.5263631939888, 0.8051908016204834], [0.5223079323768616, 0.8111553192138672]]"
fixation,444.125,544.053,99.928,10,"[10.02299257202902, 10.02299257202902, 9.462967905352006, 4.634432993401848, 18.417473540969205, 5.3271202067749766, 4.307020359867689, 19.60276844308035, 9.234710712546612, 12.918537407533375]","[[0.527622640132904, 0.827610969543457], [0.527622640132904, 0.827610969543457], [0.5213403701782227, 0.8216084241867065], [0.522030234336853, 0.8208800554275513], [0.5212019681930542, 0.8225995898246765], [0.5210708975791931, 0.8307888507843018], [0.5211007595062256, 0.8300841450691223], [0.5216647386550903, 0.8317004442214966], [0.5229299664497375, 0.8346329927444458], [0.5236030220985413, 0.8345540165901184]]","[[0.5176675319671631, 0.8086220026016235], [0.5176675319671631, 0.8086220026016235], [0.5184922814369202, 0.80698162317276], [0.5179287195205688, 0.8067502379417419], [0.5172370672225952, 0.802932858467102], [0.5185533165931702, 0.8027676343917847], [0.5255821943283081, 0.8025496602058411], [0.5294333100318909, 0.809134840965271], [0.5320269465446472, 0.8081066012382507], [0.5316532254219055, 0.8075185418128967]]"
fixation,555.156,666.188,111.03200000000004,11,"[15.556037147947489, 15.556037147947489, 6.291310609170147, 19.402764557789137, 5.664633574068426, 2.7487249731958303, 5.65515281827617, 2.293691143956087, 4.319839187958956, 19.331353782126648, 14.967831545350297]","[[0.5234354734420776, 0.8301087021827698], [0.5234354734420776, 0.8301087021827698], [0.5214783549308777, 0.8297151923179626], [0.521260142326355, 0.8257609605789185], [0.5199791193008423, 0.8196682929992676], [0.517332136631012, 0.8204866647720337], [0.5185919404029846, 0.8163281083106995], [0.5191828608512878, 0.8255869150161743], [0.5202268958091736, 0.8297590017318726], [0.5197418332099915, 0.8368035554885864], [0.5148470997810364, 0.8246123194694519]]","[[0.5296241044998169, 0.808077871799469], [0.5296241044998169, 0.808077871799469], [0.5284532308578491, 0.8021017909049988], [0.5289726853370667, 0.797410786151886], [0.5267424583435059, 0.7961606383323669], [0.5257184505462646, 0.7956275343894958], [0.5258367657661438, 0.79122394323349], [0.5279213786125183, 0.7921566367149353], [0.5267297625541687, 0.7977265119552612], [0.5241181254386902, 0.8057461380958557], [0.521826446056366, 0.7985932230949402]]"
saccade,677.291,688.394,11.102999999999952,2,"[52.98810772316855, 52.98810772316855]","[[0.5086988210678101, 0.7687599658966064], [0.5086988210678101, 0.7687599658966064]]","[[0.5131652355194092, 0.7482361197471619], [0.5131652355194092, 0.7482361197471619]]"
fixation,699.497,810.528,111.03100000000006,11,"[10.54323427559054, 10.54323427559054, 12.84562139590024, 3.4772829734525055, 1.836406008123949, 7.659575240311403, 3.5733961482665864, 4.8531712348783955, 9.763860605547222, 6.333025993869828, 12.689288460760018]","[[0.5068796873092651, 0.758439838886261], [0.5068796873092651, 0.758439838886261], [0.5014409422874451, 0.7608485817909241], [0.5038660168647766, 0.768922746181488], [0.5011744499206543, 0.7723208069801331], [0.5035823583602905, 0.7748700380325317], [0.4998030662536621, 0.7725560665130615], [0.4979406595230102, 0.7718247771263123], [0.5004158616065979, 0.7638834714889526], [0.5018153786659241, 0.759543240070343], [0.5058722496032715, 0.7575984001159668]]","[[0.5101660490036011, 0.739208459854126], [0.5101660490036011, 0.739208459854126], [0.5088434219360352, 0.7408317923545837], [0.5070655941963196, 0.7413151860237122], [0.5116820335388184, 0.738862931728363], [0.5071808099746704, 0.7336379289627075], [0.5088276863098145, 0.7285971641540527], [0.5067496299743652, 0.7337198853492737], [0.5097866654396057, 0.7361484169960022], [0.5094455480575562, 0.7359628081321716], [0.5089231133460999, 0.7271720767021179]]"
fixation,821.631,977.075,155.44400000000007,15,"[1.4116511448219973, 1.4116511448219973, 2.3343028241196593, 2.9937804946339375, 1.865180235246137, 4.717219879041068, 2.948017530165687, 0.6988159576945845, 1.080052653725232, 9.110116348791651, 3.3117242530287534, 0.7485586450756572, 7.649379318868952, 9.360478853113197, 6.0083681858117615]","[[0.5007664561271667, 0.7653744220733643], [0.5007664561271667, 0.7653744220733643], [0.5017744898796082, 0.7620363831520081], [0.5025699734687805, 0.759376049041748], [0.501736581325531, 0.7526284456253052], [0.4969258904457092, 0.7558859586715698], [0.4956690967082977, 0.7561209797859192], [0.4986833035945892, 0.7564952373504639], [0.5009400248527527, 0.7536357045173645], [0.5006689429283142, 0.7555214166641235], [0.4970242977142334, 0.7546536326408386], [0.4976742267608642, 0.7570818066596985], [0.4953933656215668, 0.7595508694648743], [0.4980080127716064, 0.7613292336463928], [0.4933456778526306, 0.75886470079422]]","[[0.5097447633743286, 0.7213967442512512], [0.5097447633743286, 0.7213967442512512], [0.5117157697677612, 0.7243136167526245], [0.5104517936706543, 0.7266185879707336], [0.5089040994644165, 0.7283768057823181], [0.5072338581085205, 0.7321435809135437], [0.5037720799446106, 0.7325380444526672], [0.5046760439872742, 0.7370468378067017], [0.5078003406524658, 0.7404043674468994], [0.5111133456230164, 0.7449296116828918], [0.5127049088478088, 0.7427217960357666], [0.5118201971054077, 0.7404822707176208], [0.5130298733711243, 0.7387295365333557], [0.5103184580802917, 0.7394180297851562], [0.509286105632782, 0.7392123937606812]]"
