type,start_time,end_time,duration,size,angular_velocities,positionLeft,positionRight
fixation,0.0,44.412,44.412,5,"[0.0, 0.0, 10.60658420744531, 4.975884428504223, 10.962455994009542]","[[0.695789635181427, 0.7492369413375854], [0.695789635181427, 0.7492369413375854], [0.6961431503295898, 0.7481396198272705], [0.695604681968689, 0.7458716034889221], [0.6939975023269653, 0.7442334294319153]]","[[0.6841671466827393, 0.7693561315536499], [0.6841671466827393, 0.7693561315536499], [0.6857602000236511, 0.7709319591522217], [0.6865211725234985, 0.7686328887939453], [0.6879984736442566, 0.7696259617805481]]"
fixation,55.515,310.887,255.372,24,"[19.76104786513739, 19.76104786513739, 11.619288883995901, 9.717626046400804, 18.544558243596647, 10.053141953443541, 10.561615146787732, 9.950612191321715, 7.940234599851335, 12.378215186232108, 4.96924935767938, 4.7491335168349265, 8.101595533938433, 2.5006677240238298, 3.2859862026992217, 2.7891884023847395, 2.2340637083156163, 2.4589591673467246, 6.53826753345176, 5.522153112048375, 2.3349549657847524, 6.230305575366575, 5.565569250410402, 19.447487225554966]","[[0.680576503276825, 0.7818376421928406], [0.680576503276825, 0.7818376421928406], [0.6733666062355042, 0.8157566785812378], [0.6683500409126282, 0.8578757643699646], [0.6673600077629089, 0.8605669736862183], [0.6668670773506165, 0.8578265309333801], [0.6658311486244202, 0.8608525991439819], [0.667059600353241, 0.8623573780059814], [0.6663784980773926, 0.8653795719146729], [0.6662575006484985, 0.8682880401611328], [0.6677817106246948, 0.8698093295097351], [0.6698927283287048, 0.8674294948577881], [0.6701191663742065, 0.8639575242996216], [0.6705017685890198, 0.8625046014785767], [0.6705572009086609, 0.867151141166687], [0.670173168182373, 0.8662680387496948], [0.6701123118400574, 0.865716278553009], [0.6690975427627563, 0.8661853671073914], [0.6683375239372253, 0.8654152154922485], [0.6692020893096924, 0.8688108325004578], [0.6712250709533691, 0.8714167475700378], [0.672000527381897, 0.8724274635314941], [0.6702390909194946, 0.8679965734481812], [0.6514204144477844, 0.8226629495620728]]","[[0.6690192818641663, 0.8107078671455383], [0.6690192818641663, 0.8107078671455383], [0.6572922468185425, 0.8480673432350159], [0.653491735458374, 0.8840135931968689], [0.6529636979103088, 0.8870617747306824], [0.652500331401825, 0.8865285515785217], [0.6514047980308533, 0.8882452249526978], [0.6511303782463074, 0.8908429145812988], [0.651199996471405, 0.8886494040489197], [0.6517800688743591, 0.8870595097541809], [0.6517633199691772, 0.8911921977996826], [0.6515185832977295, 0.8921060562133789], [0.6518220901489258, 0.8908975124359131], [0.6531952619552612, 0.8855841755867004], [0.6543675661087036, 0.8846240639686584], [0.6533419489860535, 0.8854816555976868], [0.6524779200553894, 0.8861818313598633], [0.6522538661956787, 0.8868269920349121], [0.6536588072776794, 0.8875156044960022], [0.6544177532196045, 0.8873169422149658], [0.6549709439277649, 0.8874462842941284], [0.6537975072860718, 0.8902188539505005], [0.6513504385948181, 0.8866358995437622], [0.6503797769546509, 0.8827272653579712]]"
saccade,321.99,388.609,66.61899999999997,7,"[22.614655885078925, 22.614655885078925, 35.850912962032, 33.50319979179334, 23.083860374067335, 42.27668320334803, 34.78319129801889]","[[0.583207368850708, 0.6006752848625183], [0.583207368850708, 0.6006752848625183], [0.5754969716072083, 0.53019779920578], [0.5630025863647461, 0.4018155336380005], [0.5549439191818237, 0.3358702659606933], [0.5457225441932678, 0.2787654399871826], [0.5281727313995361, 0.2338728457689285]]","[[0.5822624564170837, 0.554699182510376], [0.5822624564170837, 0.554699182510376], [0.580056369304657, 0.5178385376930237], [0.5667428970336914, 0.4121300280094147], [0.5549159049987793, 0.3464441895484924], [0.5370811820030212, 0.286444216966629], [0.5166555047035217, 0.2239432334899902]]"
fixation,399.712,477.434,77.72200000000004,8,"[15.389287966669844, 15.389287966669844, 9.703947377730676, 19.3873322065305, 3.895779642346809, 13.347061720112707, 11.912846300513957, 6.863190140704975]","[[0.5246608853340149, 0.2359122484922409], [0.5246608853340149, 0.2359122484922409], [0.5205234885215759, 0.2274986505508422], [0.5211707353591919, 0.2210552245378494], [0.5194274187088013, 0.2222547233104705], [0.4947447776794433, 0.204608529806137], [0.4746498167514801, 0.1925453245639801], [0.4540645182132721, 0.177216961979866]]","[[0.5116867423057556, 0.21378093957901], [0.5116867423057556, 0.21378093957901], [0.5132700800895691, 0.2166679203510284], [0.5137544274330139, 0.2176506966352462], [0.5129005908966064, 0.2174063622951507], [0.4918903112411499, 0.1947715729475021], [0.4730711281299591, 0.1771878451108932], [0.4535697996616363, 0.1619011163711547]]"
saccade,488.537,521.846,33.309000000000026,4,"[52.90463207229062, 52.90463207229062, 38.034969702927, 49.012208796546446]","[[0.4365406930446625, 0.1708132177591323], [0.4365406930446625, 0.1708132177591323], [0.4374555945396423, 0.1731884032487869], [0.4329629242420196, 0.1667867302894592]]","[[0.4391280710697174, 0.1528565883636474], [0.4391280710697174, 0.1528565883636474], [0.439334511756897, 0.1514202505350113], [0.4370041787624359, 0.1476492434740066]]"
fixation,532.95,677.29,144.33999999999992,14,"[4.062731378169891, 4.062731378169891, 4.836173537177754, 2.698097222425992, 2.928067521920988, 4.789431082898961, 5.19703766588871, 8.698756350990523, 15.868799056460613, 3.291299343562462, 3.8439950787898844, 14.37342001839032, 8.580583127156403, 10.090265008063628]","[[0.4287230670452118, 0.1714491546154022], [0.4287230670452118, 0.1714491546154022], [0.4283820390701294, 0.1723020672798156], [0.4301237761974334, 0.1712494939565658], [0.4304148852825165, 0.1684887707233429], [0.4309679865837097, 0.1634387373924255], [0.4304326176643371, 0.1639790683984756], [0.4316121935844421, 0.1623950004577636], [0.4305423498153686, 0.1655426174402237], [0.4306806623935699, 0.1653991341590881], [0.4297322034835815, 0.1678478568792343], [0.4290258288383484, 0.165528729557991], [0.4302471280097961, 0.1682889610528946], [0.43068528175354, 0.1683150827884674]]","[[0.4358727037906647, 0.1443872302770614], [0.4358727037906647, 0.1443872302770614], [0.4362897574901581, 0.140739232301712], [0.437162697315216, 0.1415037214756012], [0.4380532503128052, 0.1376895904541015], [0.4373238384723663, 0.1372081786394119], [0.4354869425296783, 0.1374962031841278], [0.4357437491416931, 0.1353505402803421], [0.4361840188503265, 0.1349349319934845], [0.435804545879364, 0.1339399367570877], [0.4353680908679962, 0.1377788484096527], [0.436064600944519, 0.1400639861822128], [0.4356744587421417, 0.14071024954319], [0.4358292520046234, 0.1415421366691589]]"
fixation,688.393,710.6,22.206999999999994,3,"[9.444730174401204, 9.444730174401204, 9.703903758108705]","[[0.4317093193531036, 0.1708793193101883], [0.4317093193531036, 0.1708793193101883], [0.4286228120326996, 0.174845814704895]]","[[0.4369545876979828, 0.1379691511392593], [0.4369545876979828, 0.1379691511392593], [0.431088775396347, 0.1397381573915481]]"
fixation,721.703,910.456,188.75300000000004,18,"[10.353982206955923, 10.353982206955923, 12.917645870738989, 17.300225797246217, 2.7481574802030653, 3.3918832425469545, 4.581300675217985, 1.897473642888222, 1.3004002695634582, 5.341131446301271, 4.400603942613719, 6.550656012531344, 14.652071582974882, 5.4743762888433904, 4.881962920123624, 9.143735764329644, 6.205544223446468, 6.194471298469505]","[[0.4219490587711334, 0.1725937873125076], [0.4219490587711334, 0.1725937873125076], [0.4215942323207855, 0.1707701385021209], [0.4187024235725403, 0.1688410490751266], [0.4190695583820343, 0.1709717959165573], [0.4190819859504699, 0.1713200509548187], [0.4214116930961609, 0.1738565862178802], [0.4217063784599304, 0.1718894690275192], [0.4236761331558227, 0.1714839488267898], [0.4236179292201996, 0.1709997504949569], [0.4240583479404449, 0.1694425791501999], [0.4244874119758606, 0.1692270785570144], [0.4236682653427124, 0.1685246676206588], [0.422716736793518, 0.170573815703392], [0.4215792119503021, 0.1707723438739776], [0.424408495426178, 0.1703924685716629], [0.4242128133773803, 0.1702570170164108], [0.4242861270904541, 0.1679354459047317]]","[[0.4251424670219421, 0.1444094330072403], [0.4251424670219421, 0.1444094330072403], [0.4280095398426056, 0.1449360102415084], [0.4273619055747986, 0.1454871296882629], [0.4263163208961487, 0.1473962366580963], [0.4268947839736938, 0.1462818533182144], [0.4273448288440704, 0.1450881958007812], [0.4267622828483581, 0.1426259726285934], [0.4266186654567718, 0.142849713563919], [0.4255121648311615, 0.1423568278551101], [0.4278084933757782, 0.1453245729207992], [0.4278120696544647, 0.1470750272274017], [0.4282539784908294, 0.1480721235275268], [0.4275027811527252, 0.1445209980010986], [0.427853524684906, 0.1421573162078857], [0.4260905981063843, 0.1395785063505172], [0.4251811504364013, 0.13936448097229], [0.4244901239871979, 0.1381537616252899]]"
fixation,921.559,943.765,22.206000000000017,3,"[12.364631185693838, 12.364631185693838, 12.57509939690283]","[[0.4243442118167877, 0.1689015924930572], [0.4243442118167877, 0.1689015924930572], [0.4224505722522735, 0.1705000400543213]]","[[0.4273551404476166, 0.1407721042633056], [0.4273551404476166, 0.1407721042633056], [0.4282407760620117, 0.1425868570804596]]"
fixation,954.868,1065.9,111.03200000000004,11,"[7.205884557836051, 7.205884557836051, 7.517132356479073, 11.720650144193435, 5.1191571724798415, 2.8345398527824592, 10.360441485224017, 4.025273496228178, 2.5181850402458403, 6.172646916155268, 1.84205780893488]","[[0.4219383597373962, 0.1668035089969635], [0.4219383597373962, 0.1668035089969635], [0.4247215688228607, 0.1669529229402542], [0.4256556928157806, 0.1640775203704834], [0.4230749607086181, 0.166152074933052], [0.4229092001914978, 0.1646760106086731], [0.423441082239151, 0.1684118062257766], [0.423055499792099, 0.1713735312223434], [0.4222165048122406, 0.1726998537778854], [0.4244560301303863, 0.1718620508909225], [0.4350168406963348, 0.1623450368642807]]","[[0.4278761744499206, 0.1413635611534118], [0.4278761744499206, 0.1413635611534118], [0.426800787448883, 0.143088161945343], [0.4278447031974792, 0.1426676362752914], [0.4270952641963959, 0.1434783190488815], [0.4276156723499298, 0.1416598856449127], [0.4268254041671753, 0.1419086307287216], [0.4264523088932037, 0.1429778188467025], [0.4272395372390747, 0.14267198741436], [0.4274095892906189, 0.1435229629278183], [0.438904732465744, 0.1399096697568893]]"
