type,start_time,end_time,duration,size,angular_velocities,positionLeft,positionRight
fixation,0.0,11.103,11.103,2,"[0.0, 0.0]","[[0.7244972586631775, 0.7525683045387268], [0.7244972586631775, 0.7525683045387268]]","[[0.7365155220031738, 0.7766110301017761], [0.7365155220031738, 0.7766110301017761]]"
saccade,22.206,166.547,144.341,14,"[44.372960808194634, 44.372960808194634, 56.152286156608156, 103.46264513642555, 41.799396501929216, 45.82198365666506, 91.79319558237763, 40.54879088235995, 41.11700601936619, 85.04207626233152, 40.542371765767996, 40.41793401294786, 82.73396365893221, 38.6044037504609]","[[0.731417715549469, 0.7530723810195923], [0.731417715549469, 0.7530723810195923], [0.7299299240112305, 0.7616480588912964], [0.7276583909988403, 0.7651245594024658], [0.7266930937767029, 0.7587177753448486], [0.7212086915969849, 0.755340039730072], [0.7248145937919617, 0.7514416575431824], [0.724503219127655, 0.7523630261421204], [0.7202857136726379, 0.7437210083007812], [0.7193281054496765, 0.746046781539917], [0.7209663987159729, 0.7459985017776489], [0.6861715316772461, 0.6341997385025024], [0.6856003999710083, 0.6306069493293762], [0.6866168975830078, 0.630161464214325]]","[[0.7338758111000061, 0.7768363356590271], [0.7338758111000061, 0.7768363356590271], [0.7355449199676514, 0.7793031334877014], [0.7327077984809875, 0.7799314260482788], [0.7337962985038757, 0.7817590832710266], [0.733167827129364, 0.7788271903991699], [0.7364948987960815, 0.7838881611824036], [0.7393321394920349, 0.7892764210700989], [0.7416871190071106, 0.7884520888328552], [0.74132239818573, 0.7903111577033997], [0.7376502156257629, 0.7812624573707581], [0.7375872135162354, 0.7827815413475037], [0.7382716536521912, 0.7809317111968994], [0.7362191081047058, 0.7761967778205872]]"
saccade,177.65,199.856,22.20599999999999,3,"[109.63881289367197, 109.63881289367197, 54.639061558826285]","[[0.7306856513023376, 0.7413346171379089], [0.7306856513023376, 0.7413346171379089], [0.7309895753860474, 0.7510068416595459]]","[[0.7381811141967773, 0.7784864902496338], [0.7381811141967773, 0.7784864902496338], [0.7380900979042053, 0.7787072658538818]]"
saccade,210.959,233.166,22.206999999999994,3,"[94.31106263141673, 94.31106263141673, 45.40623409778407]","[[0.7291389107704163, 0.7628517150878906], [0.7291389107704163, 0.7628517150878906], [0.7249317169189453, 0.7423112988471985]]","[[0.7338860034942627, 0.7754040360450745], [0.7338860034942627, 0.7754040360450745], [0.7345275282859802, 0.7704334259033203]]"
saccade,244.269,333.094,88.82499999999999,9,"[84.35581952988154, 84.35581952988154, 42.30274281790355, 26.1347605368164, 91.81664199581901, 32.67073248736899, 21.534370205471493, 53.814530591165685, 28.370627378783915]","[[0.7283907532691956, 0.7402949333190918], [0.7283907532691956, 0.7402949333190918], [0.7292904257774353, 0.7465196847915649], [0.7289247512817383, 0.7464500665664673], [0.7259966135025024, 0.7463732361793518], [0.7266290187835693, 0.7456443905830383], [0.718792736530304, 0.7423714399337769], [0.7170621752738953, 0.7417678236961365], [0.7190033197402954, 0.7442578077316284]]","[[0.7335723638534546, 0.7704532742500305], [0.7335723638534546, 0.7704532742500305], [0.7397154569625854, 0.7710009813308716], [0.7349716424942017, 0.7766555547714233], [0.7338914275169373, 0.7754161953926086], [0.7338914275169373, 0.7754161953926086], [0.7377105355262756, 0.7743059396743774], [0.7326579093933105, 0.7735245823860168], [0.7241535186767578, 0.7740204930305481]]"
saccade,344.197,366.403,22.206000000000017,3,"[61.147169816814156, 61.147169816814156, 50.59642173188074]","[[0.708541214466095, 0.7494182586669922], [0.708541214466095, 0.7494182586669922], [0.6553089022636414, 0.7037510871887207]]","[[0.7168824672698975, 0.7703603506088257], [0.7168824672698975, 0.7703603506088257], [0.7005591988563538, 0.7552462220191956]]"
saccade,377.506,399.713,22.20700000000005,3,"[24.371728702119693, 24.371728702119693, 42.6881116599224]","[[0.5259824395179749, 0.4718963503837585], [0.5259824395179749, 0.4718963503837585], [0.5141066312789917, 0.4444031417369842]]","[[0.5533866882324219, 0.5840203762054443], [0.5533866882324219, 0.5840203762054443], [0.5398144721984863, 0.5644742250442505]]"
saccade,410.816,433.022,22.206000000000017,3,"[59.43009838515721, 59.43009838515721, 82.28777177935027]","[[0.5328922867774963, 0.5185732841491699], [0.5328922867774963, 0.5185732841491699], [0.5278435349464417, 0.5137125849723816]]","[[0.5336421132087708, 0.559101402759552], [0.5336421132087708, 0.559101402759552], [0.5308600068092346, 0.5502753257751465]]"
saccade,444.125,466.331,22.206000000000017,3,"[57.00694292234335, 57.00694292234335, 37.065917396279815]","[[0.5225977897644043, 0.4811926484107971], [0.5225977897644043, 0.4811926484107971], [0.5240075588226318, 0.4800681173801422]]","[[0.5317787528038025, 0.5425117015838623], [0.5317787528038025, 0.5425117015838623], [0.531828761100769, 0.5425605773925781]]"
saccade,477.434,499.641,22.206999999999994,3,"[61.33163054613288, 61.33163054613288, 34.503835225618566]","[[0.5303459763526917, 0.5205242037773132], [0.5303459763526917, 0.5205242037773132], [0.5279611945152283, 0.5218270421028137]]","[[0.5323435068130493, 0.5475414991378784], [0.5323435068130493, 0.5475414991378784], [0.5315901637077332, 0.549065887928009]]"
