type,start_time,end_time,duration,size,angular_velocities,positionLeft,positionRight
fixation,0.0,321.99,321.99,30,"[0.0, 0.0, 4.107829544915259, 3.826555100619, 10.754834930620426, 3.221987492018654, 5.7512601586187975, 6.130299807936834, 5.110780259105453, 4.635245504811812, 8.162014695731315, 0.8774214656605838, 4.028171760466224, 1.5401990951875193, 0.7978299213887309, 2.161903769659438, 1.7704758531517624, 1.6336230957522864, 2.6222855288939195, 3.5572535673195955, 2.061045339390478, 1.5766679487565904, 4.148210232317893, 1.851988534251069, 13.769004914098344, 10.570494807481436, 0.9716788987336987, 1.5561013508016621, 10.678537110151131, 6.251191494797734]","[[0.5774120688438416, 0.5919824242591858], [0.5774120688438416, 0.5919824242591858], [0.5784175992012024, 0.5930485129356384], [0.5796381235122681, 0.5972824692726135], [0.5794005393981934, 0.596111536026001], [0.5781818628311157, 0.595160961151123], [0.5786357522010803, 0.5945562720298767], [0.580093264579773, 0.5945431590080261], [0.5803227424621582, 0.5942656397819519], [0.5805134773254395, 0.5945734977722168], [0.5789346694946289, 0.5941348671913147], [0.5787939429283142, 0.5966585874557495], [0.5794507265090942, 0.5973474383354187], [0.5804600119590759, 0.595958411693573], [0.5801205039024353, 0.5951251983642578], [0.58005291223526, 0.5934035778045654], [0.5793792009353638, 0.5959664583206177], [0.5794276595115662, 0.5962289571762085], [0.5779209733009338, 0.592602550983429], [0.5801841616630554, 0.5957670211791992], [0.5812721252441406, 0.5966700911521912], [0.5820024013519287, 0.599905788898468], [0.5813528299331665, 0.5969399213790894], [0.5809551477432251, 0.5940964818000793], [0.5809261202812195, 0.5935534238815308], [0.581372857093811, 0.5940748453140259], [0.581948459148407, 0.5957025289535522], [0.5824669003486633, 0.5965582728385925], [0.5667150616645813, 0.5834444165229797], [0.5521640777587891, 0.5577345490455627]]","[[0.5817855000495911, 0.6290310621261597], [0.5817855000495911, 0.6290310621261597], [0.5816583037376404, 0.6295232176780701], [0.5815675854682922, 0.6317800879478455], [0.5811052918434143, 0.6349287033081055], [0.5813887119293213, 0.637382447719574], [0.5811360478401184, 0.6351187229156494], [0.5801821351051331, 0.6329540014266968], [0.5789923071861267, 0.6304210424423218], [0.5792006850242615, 0.6337634921073914], [0.5797774195671082, 0.6335949897766113], [0.5813276767730713, 0.6361055374145508], [0.5809409618377686, 0.634463906288147], [0.5816261172294617, 0.633667528629303], [0.5819258689880371, 0.6318947672843933], [0.5830296874046326, 0.63248211145401], [0.5828049182891846, 0.6316508650779724], [0.5822235941886902, 0.6336535811424255], [0.581853985786438, 0.633483350276947], [0.5806260108947754, 0.6332682371139526], [0.5803612470626831, 0.6311022043228149], [0.580883264541626, 0.6310431361198425], [0.5815606713294983, 0.6324952244758606], [0.5820380449295044, 0.6337998509407043], [0.5821292996406555, 0.6351610422134399], [0.5830307602882385, 0.6377633810043335], [0.5832353830337524, 0.6373158693313599], [0.5826086401939392, 0.6341392397880554], [0.5752213597297668, 0.6171675324440002], [0.5544378757476807, 0.5752112865447998]]"
saccade,333.094,355.3,22.206000000000017,3,"[45.36474236806429, 45.36474236806429, 38.31620849160656]","[[0.4651728570461273, 0.3905211687088012], [0.4651728570461273, 0.3905211687088012], [0.456642746925354, 0.3760079443454742]]","[[0.4812321960926056, 0.4376903176307678], [0.4812321960926056, 0.4376903176307678], [0.4617583751678467, 0.4072011113166809]]"
saccade,366.403,377.506,11.102999999999952,2,"[52.62455303050486, 52.62455303050486]","[[0.4524687230587005, 0.3784938454627991], [0.4524687230587005, 0.3784938454627991]]","[[0.4544965028762817, 0.4050411581993103], [0.4544965028762817, 0.4050411581993103]]"
saccade,388.609,410.815,22.206000000000017,3,"[58.875132816913855, 58.875132816913855, 25.26335092062876]","[[0.4507435262203216, 0.3780925869941711], [0.4507435262203216, 0.3780925869941711], [0.4488880336284637, 0.3755882084369659]]","[[0.4549050331115722, 0.4011451303958893], [0.4549050331115722, 0.4011451303958893], [0.4559463858604431, 0.4011720418930053]]"
fixation,421.919,555.156,133.23699999999997,13,"[10.550923565497444, 10.550923565497444, 10.589853141778656, 3.3956082495743947, 11.47905215869412, 7.650871952815794, 3.9024087027843892, 9.745556387299217, 9.374703494792078, 1.6182850734828331, 12.384358349794507, 15.986978955032182, 10.307367092135557]","[[0.4483880996704101, 0.3737810254096985], [0.4483880996704101, 0.3737810254096985], [0.4487752616405487, 0.3724682331085205], [0.4497638046741485, 0.3729659616947174], [0.4499534070491791, 0.3705674111843109], [0.4506415426731109, 0.3704409897327423], [0.4502865672111511, 0.3698424696922302], [0.4489153623580932, 0.3712996542453766], [0.4353696405887604, 0.3569936752319336], [0.4315670430660248, 0.3534022271633148], [0.425535500049591, 0.3446716666221618], [0.4287323653697967, 0.3444738984107971], [0.4293971657752991, 0.343092143535614]]","[[0.4548557996749878, 0.4033862352371216], [0.4548557996749878, 0.4033862352371216], [0.4544061124324798, 0.4044379591941833], [0.4545790553092956, 0.404104471206665], [0.4547091722488403, 0.4051209986209869], [0.4550178945064544, 0.4047382175922394], [0.4551133215427398, 0.4049265682697296], [0.4538655579090118, 0.4019844532012939], [0.4462272822856903, 0.3912803828716278], [0.4390800297260284, 0.3813375234603882], [0.4344750344753265, 0.3745665848255157], [0.4348909854888916, 0.3741101622581482], [0.4350519776344299, 0.3724636733531952]]"
fixation,566.259,788.322,222.063,21,"[3.8334297257985397, 3.8334297257985397, 4.0076099752907215, 14.100419502526773, 15.178845820516072, 3.204390385002462, 3.481560738046004, 4.793647704038748, 0.6489876806446779, 2.868905444249276, 1.8175920637828036, 1.210641457945004, 3.4496216191397377, 2.5330954493651747, 1.589720742467947, 7.820373375214931, 16.537420224161263, 7.687044612721591, 15.614283116373125, 14.982279540448662, 7.599100552602143]","[[0.4297597110271454, 0.3444433808326721], [0.4297597110271454, 0.3444433808326721], [0.4294585287570953, 0.3448099195957184], [0.4280848801136017, 0.3436190485954284], [0.428124189376831, 0.3442081809043884], [0.4277991950511932, 0.3441243469715118], [0.4279168248176574, 0.3427062034606933], [0.4285414814949035, 0.3415832221508026], [0.4292744100093841, 0.3416490256786346], [0.4301002621650696, 0.3431366682052612], [0.4304226636886596, 0.3425794541835785], [0.4305457472801208, 0.3424670100212097], [0.429675281047821, 0.3433947563171386], [0.4337630569934845, 0.3442839086055755], [0.4348631501197815, 0.3449315130710602], [0.4392695724964142, 0.3437660932540893], [0.4389368295669555, 0.3458497524261474], [0.4395342469215393, 0.3454900979995727], [0.4392645955085754, 0.3440968096256256], [0.4387423694133758, 0.3438131809234619], [0.4450215697288513, 0.3432590663433075]]","[[0.4338837563991546, 0.3675975203514099], [0.4338837563991546, 0.3675975203514099], [0.4344077706336975, 0.3697512149810791], [0.4343449175357818, 0.3713234066963196], [0.4331984519958496, 0.3720118403434753], [0.4331385493278503, 0.3736991584300995], [0.4337410032749176, 0.3757050931453705], [0.434598445892334, 0.3760527074337005], [0.4349738955497741, 0.3763587474822998], [0.4345885515213012, 0.3754332363605499], [0.4349755346775055, 0.3734813630580902], [0.4348396062850952, 0.3708781599998474], [0.4347929656505584, 0.3698763847351074], [0.4389212429523468, 0.3748676478862762], [0.4406528770923614, 0.3772549331188202], [0.4427260756492615, 0.3820295333862304], [0.4413300156593323, 0.3814883828163147], [0.4415266811847687, 0.3824668526649475], [0.4420374631881714, 0.3825780749320984], [0.4418859779834747, 0.3830192983150482], [0.4559985995292663, 0.3810233175754547]]"
saccade,799.425,810.528,11.103000000000065,2,"[23.644561962469123, 23.644561962469123]","[[0.4760185182094574, 0.3472526967525482], [0.4760185182094574, 0.3472526967525482]]","[[0.4822483360767364, 0.3788594007492065], [0.4822483360767364, 0.3788594007492065]]"
saccade,821.631,832.734,11.103000000000065,2,"[23.754155613471973, 23.754155613471973]","[[0.4780440032482147, 0.3485578596591949], [0.4780440032482147, 0.3485578596591949]]","[[0.4795421063899994, 0.3833207786083221], [0.4795421063899994, 0.3833207786083221]]"
fixation,843.837,988.178,144.341,14,"[3.5669524539589585, 3.5669524539589585, 3.537917896629363, 2.2845917933754962, 1.1307667174954994, 2.5524421181590395, 3.7606647247544047, 0.8102061425518753, 1.4925889481079397, 1.8396220587402214, 0.3553863387600091, 1.287489036817701, 3.712984190749185, 3.1838321528505054]","[[0.4778920710086822, 0.3476736843585968], [0.4778920710086822, 0.3476736843585968], [0.4778997004032135, 0.3488063514232635], [0.4773247838020324, 0.3503827154636383], [0.4786292612552643, 0.3509713113307953], [0.4774203598499298, 0.3489792346954345], [0.4777999818325043, 0.3464893698692322], [0.4776544272899627, 0.346264123916626], [0.4780920743942261, 0.3435864746570587], [0.4794956147670746, 0.3448802530765533], [0.4787895977497101, 0.3446919023990631], [0.4792618453502655, 0.3459844291210174], [0.4775144457817077, 0.347202867269516], [0.4800071120262146, 0.3459371328353882]]","[[0.47935751080513, 0.3855968713760376], [0.47935751080513, 0.3855968713760376], [0.4808602333068847, 0.3840893805027008], [0.4809823334217071, 0.382329523563385], [0.4810018837451935, 0.3798449337482452], [0.4810829162597656, 0.379637062549591], [0.4819474518299103, 0.3796117007732391], [0.4810665845870971, 0.380019336938858], [0.4819040298461914, 0.38131183385849], [0.4808998703956604, 0.3802748024463653], [0.4811330437660217, 0.3822139799594879], [0.4801690578460693, 0.3821482956409454], [0.4807945787906647, 0.3816466927528381], [0.4852209687232971, 0.3816777467727661]]"
saccade,999.281,1010.384,11.103000000000065,2,"[24.069907682825658, 24.069907682825658]","[[0.505510151386261, 0.3445308804512024], [0.505510151386261, 0.3445308804512024]]","[[0.5053835511207581, 0.3840391933917999], [0.5053835511207581, 0.3840391933917999]]"
saccade,1021.487,1043.694,22.206999999999994,3,"[32.48519534160398, 32.48519534160398, 23.082221441681874]","[[0.506134033203125, 0.3433072865009308], [0.506134033203125, 0.3433072865009308], [0.5075637102127075, 0.342358648777008]]","[[0.5077916979789734, 0.3817958533763885], [0.5077916979789734, 0.3817958533763885], [0.5088202357292175, 0.3817915320396423]]"
fixation,1054.797,1354.581,299.7839999999999,20,"[3.4890845028053548, 3.4890845028053548, 0.45473912447222403, 1.0813598912761844, 5.948712581262051, 8.751911587293568, 1.8216376715169493, 9.46310289338287, 7.396338098056134, 3.1255093084073358, 2.830786191911516, 2.669600595199145, 10.618033217028582, 0.32542188480858614, 8.908757484720349, 5.610600977289296, 3.1225135041508474, 4.329910578847043, 3.4981217649343255, 5.643889074500658]","[[0.5083296298980713, 0.3436741530895233], [0.5083296298980713, 0.3436741530895233], [0.5071935653686523, 0.3439930975437164], [0.5070706009864807, 0.3428853452205658], [0.5076871514320374, 0.3475970923900604], [0.511342465877533, 0.3784571886062622], [0.5119925737380981, 0.3868627846240997], [0.5139762759208679, 0.4309859871864319], [0.5203155279159546, 0.3848268687725067], [0.5094876885414124, 0.3978389799594879], [0.5051081776618958, 0.3810594975948334], [0.497026652097702, 0.3559765219688415], [0.4950249195098877, 0.3232378363609314], [0.497004896402359, 0.3266856372356415], [0.497488409280777, 0.3374903202056885], [0.4966051876544952, 0.337369441986084], [0.4964428246021271, 0.3375112414360046], [0.4942998588085174, 0.334939956665039], [0.4955035746097564, 0.3388412594795227], [0.5024427771568298, 0.338133841753006]]","[[0.5088835954666138, 0.3829030990600586], [0.5088835954666138, 0.3829030990600586], [0.5096905827522278, 0.3837214410305023], [0.5102981925010681, 0.3809508085250854], [0.5104277729988098, 0.3824845850467682], [0.5107160210609436, 0.3898181319236755], [0.48773393034935, 0.4495629966259002], [0.4779070317745209, 0.4827638566493988], [0.4979057908058166, 0.4205019474029541], [0.5002301931381226, 0.3752644658088684], [0.500682532787323, 0.3795045614242553], [0.5007278919219971, 0.3833305537700653], [0.5012921690940857, 0.3825623989105224], [0.5015803575515747, 0.3820536434650421], [0.5013445019721985, 0.380611777305603], [0.5005627870559692, 0.3815056383609772], [0.501534104347229, 0.3779084384441376], [0.5019597411155701, 0.3772392868995666], [0.5017849206924438, 0.3782768249511719], [0.5130666494369507, 0.3800589740276336]]"
saccade,1365.684,1376.787,11.103000000000065,2,"[29.532223666307537, 29.532223666307537]","[[0.5436034202575684, 0.342348575592041], [0.5436034202575684, 0.342348575592041]]","[[0.5435824990272522, 0.3858045935630798], [0.5435824990272522, 0.3858045935630798]]"
saccade,1387.89,1410.097,22.20699999999988,3,"[53.107332959626056, 53.107332959626056, 29.22351657668912]","[[0.5453173518180847, 0.338453471660614], [0.5453173518180847, 0.338453471660614], [0.5464545488357544, 0.3376527428627014]]","[[0.5444195866584778, 0.3860664069652557], [0.5444195866584778, 0.3860664069652557], [0.5452993512153625, 0.385286808013916]]"
fixation,1421.2,1587.747,166.54700000000003,16,"[3.452758304895116, 3.452758304895116, 4.44754803652008, 0.709613293271547, 3.279195051076193, 0.7683619913137628, 1.9695024691469334, 7.810048774155495, 7.651783806058714, 0.8864819882172676, 7.16408329370027, 15.242181438787588, 7.839683304841262, 16.532107330429998, 18.05010022286826, 6.017126013708431]","[[0.5454776883125305, 0.3393625617027282], [0.5454776883125305, 0.3393625617027282], [0.5442056059837341, 0.3375258445739746], [0.543867826461792, 0.3385704755783081], [0.5423902273178101, 0.3361139893531799], [0.5425083637237549, 0.3355395793914795], [0.5428652763366699, 0.3340971171855926], [0.5451969504356384, 0.3377967476844787], [0.5455341339111328, 0.3384704887866974], [0.5455709099769592, 0.3397870063781738], [0.544661819934845, 0.3383695185184479], [0.5455126762390137, 0.3377962708473205], [0.5445162653923035, 0.337392508983612], [0.543129563331604, 0.336048424243927], [0.5432568788528442, 0.3357506394386291], [0.5477191805839539, 0.3352426588535309]]","[[0.5453591346740723, 0.3825467228889465], [0.5453591346740723, 0.3825467228889465], [0.5450214147567749, 0.3821887373924255], [0.5449651479721069, 0.3813240230083465], [0.5457746386528015, 0.3815593719482422], [0.5446405410766602, 0.3817629814147949], [0.5441548824310303, 0.3809131681919098], [0.543520450592041, 0.3797204494476318], [0.5451250076293945, 0.3782872259616852], [0.5441049337387085, 0.3761771917343139], [0.5436295866966248, 0.3777419328689575], [0.5433959364891052, 0.3781681656837463], [0.5438460111618042, 0.3796006143093109], [0.5441877841949463, 0.3770631551742553], [0.5426504015922546, 0.3767688572406769], [0.5510980486869812, 0.3765400052070617]]"
saccade,1598.85,1609.953,11.103000000000065,2,"[24.645000882258177, 24.645000882258177]","[[0.5704702138900757, 0.3338339030742645], [0.5704702138900757, 0.3338339030742645]]","[[0.5716184973716736, 0.3796312808990478], [0.5716184973716736, 0.3796312808990478]]"
fixation,1621.056,1632.159,11.103000000000065,2,"[10.143165110816964, 10.143165110816964]","[[0.5699366331100464, 0.3344695568084717], [0.5699366331100464, 0.3344695568084717]]","[[0.5706564784049988, 0.3816345632076263], [0.5706564784049988, 0.3816345632076263]]"
fixation,1643.262,1720.984,77.72199999999998,8,"[1.4843308254672372, 1.4843308254672372, 10.722531128957401, 18.17637718758557, 7.882511134287004, 15.266390043263328, 12.902406330278383, 1.9249654102302836]","[[0.5688645839691162, 0.3354919552803039], [0.5688645839691162, 0.3354919552803039], [0.5689473152160645, 0.3373002707958221], [0.5691107511520386, 0.3385534584522247], [0.5690299868583679, 0.3386958241462707], [0.5688393115997314, 0.3376314640045166], [0.5696447491645813, 0.3353655934333801], [0.564109206199646, 0.3361241817474365]]","[[0.5707245469093323, 0.3810486793518066], [0.5707245469093323, 0.3810486793518066], [0.570267379283905, 0.381338894367218], [0.569189190864563, 0.3844216167926788], [0.5704395771026611, 0.3821451961994171], [0.5710986852645874, 0.384435772895813], [0.5703542828559875, 0.3844518959522247], [0.5641342401504517, 0.3866938352584839]]"
fixation,1732.087,1754.294,22.207000000000107,3,"[12.774739695896033, 12.774739695896033, 5.595419420470774]","[[0.4664546549320221, 0.3506829440593719], [0.4664546549320221, 0.3506829440593719], [0.4448733031749725, 0.3562861979007721]]","[[0.48564213514328, 0.3909586369991302], [0.48564213514328, 0.3909586369991302], [0.4454158246517181, 0.3985456526279449]]"
saccade,1765.397,1809.809,44.412000000000035,5,"[31.198740083029627, 31.198740083029627, 28.142177025958365, 114.10554756379865, 29.883564034209556]","[[0.4216921031475067, 0.3651005625724792], [0.4216921031475067, 0.3651005625724792], [0.4210645854473114, 0.3637211918830871], [0.4190758764743805, 0.3598464727401733], [0.4191514551639557, 0.360723078250885]]","[[0.422204852104187, 0.4020907580852508], [0.422204852104187, 0.4020907580852508], [0.4231643676757812, 0.3982007205486297], [0.4228235185146332, 0.3945841193199157], [0.4235197901725769, 0.3946688771247864]]"
