type,start_time,end_time,duration,size,angular_velocities,positionLeft,positionRight
fixation,0.0,33.309,33.309,4,"[0.0, 0.0, 0.0, 14.412464656929776]","[[-0.012954045087099, 0.2521573603153229], [-0.012954045087099, 0.2521573603153229], [-0.012954045087099, 0.2521573603153229], [0.0112753249704837, 0.2774356305599212]]","[[0.0804855525493621, 0.2767278850078583], [0.0804855525493621, 0.2767278850078583], [0.0830039903521537, 0.3162146210670471], [0.0813407227396965, 0.3258003890514374]]"
fixation,44.412,55.515,11.103000000000002,2,"[0.0, 0.0]","[[0.0763658583164215, 0.3453440070152282], [0.0763658583164215, 0.3453440070152282]]","[[0.0822874158620834, 0.3373952507972717], [0.0822874158620834, 0.3373952507972717]]"
fixation,66.618,88.825,22.207000000000008,3,"[0.0, 0.0, 0.0]","[[0.0873813331127166, 0.3568809330463409], [0.0873813331127166, 0.3568809330463409], [0.0873813331127166, 0.3568809330463409]]","[[0.0837470367550849, 0.3471930623054504], [0.0837470367550849, 0.3471930623054504], [0.0847672522068023, 0.3499418795108795]]"
fixation,99.928,122.134,22.206000000000003,3,"[0.0, 0.0, 0.0]","[[0.0835368931293487, 0.3464770913124084], [0.0835368931293487, 0.3464770913124084], [0.0835368931293487, 0.3464770913124084]]","[[0.083221286535263, 0.343400627374649], [0.083221286535263, 0.343400627374649], [0.0826449692249298, 0.3425573408603668]]"
fixation,133.237,155.443,22.206000000000017,3,"[0.0, 0.0, 0.0]","[[0.0677401572465896, 0.3478776514530182], [0.0677401572465896, 0.3478776514530182], [0.0677401572465896, 0.3478776514530182]]","[[0.0825884342193603, 0.345000147819519], [0.0825884342193603, 0.345000147819519], [0.0824182108044624, 0.3437318503856659]]"
fixation,166.547,188.753,22.20599999999999,3,"[0.0, 0.0, 0.0]","[[0.0756941586732864, 0.3492419719696045], [0.0756941586732864, 0.3492419719696045], [0.0756941586732864, 0.3492419719696045]]","[[0.0811470001935958, 0.3431636095046997], [0.0811470001935958, 0.3431636095046997], [0.0816909596323967, 0.3418574035167694]]"
fixation,199.856,222.062,22.206000000000017,3,"[0.0, 0.0, 0.0]","[[0.0733019933104515, 0.344578742980957], [0.0733019933104515, 0.344578742980957], [0.0733019933104515, 0.344578742980957]]","[[0.078999787569046, 0.3388745486736297], [0.078999787569046, 0.3388745486736297], [0.0773090720176696, 0.3400293290615082]]"
fixation,233.165,255.372,22.207000000000022,3,"[0.0, 0.0, 0.0]","[[0.0678417831659317, 0.343932956457138], [0.0678417831659317, 0.343932956457138], [0.0678417831659317, 0.343932956457138]]","[[0.0786648243665695, 0.3457189202308655], [0.0786648243665695, 0.3457189202308655], [0.0777835771441459, 0.3454063236713409]]"
fixation,266.475,288.681,22.20599999999996,3,"[0.0, 0.0, 0.0]","[[0.0756696090102195, 0.3482919931411743], [0.0756696090102195, 0.3482919931411743], [0.0756696090102195, 0.3482919931411743]]","[[0.0787585899233818, 0.3522460758686065], [0.0787585899233818, 0.3522460758686065], [0.0814076513051986, 0.3551158607006073]]"
saccade,299.784,310.887,11.103000000000009,2,"[85.22104853428698, 85.22104853428698]","[[0.1193852201104164, 0.3458988964557647], [0.1193852201104164, 0.3458988964557647]]","[[0.0934166833758354, 0.3532499670982361], [0.0934166833758354, 0.3532499670982361]]"
saccade,321.99,344.197,22.206999999999994,3,"[61.7189500990478, 61.7189500990478, 133.6557037601089]","[[0.1348673999309539, 0.3500588238239288], [0.1348673999309539, 0.3500588238239288], [0.1336498111486435, 0.3556566834449768]]","[[0.1402624696493148, 0.3286436796188354], [0.1402624696493148, 0.3286436796188354], [0.1463542580604553, 0.3411347866058349]]"
fixation,355.3,366.403,11.103000000000009,2,"[8.779662172014385, 8.779662172014385]","[[0.1336555331945419, 0.3547150790691376], [0.1336555331945419, 0.3547150790691376]]","[[0.1509875059127807, 0.3492727875709533], [0.1509875059127807, 0.3492727875709533]]"
fixation,377.506,388.609,11.103000000000009,2,"[0.0, 0.0]","[[0.1367522776126861, 0.3539844155311584], [0.1367522776126861, 0.3539844155311584]]","[[0.1517737507820129, 0.3466691076755523], [0.1517737507820129, 0.3466691076755523]]"
saccade,399.712,410.815,11.103000000000009,2,"[75.420072796268, 75.420072796268]","[[0.1342642456293106, 0.3584123253822326], [0.1342642456293106, 0.3584123253822326]]","[[0.1495883911848068, 0.341840386390686], [0.1495883911848068, 0.341840386390686]]"
saccade,421.918,444.125,22.206999999999994,3,"[34.07493195914482, 34.07493195914482, 58.671707144725616]","[[0.1385608166456222, 0.3612398505210876], [0.1385608166456222, 0.3612398505210876], [0.174016073346138, 0.369499534368515]]","[[0.1574787497520446, 0.3427206575870514], [0.1574787497520446, 0.3427206575870514], [0.2048064768314361, 0.3333915770053863]]"
saccade,455.228,466.331,11.103000000000009,2,"[242.59985912033102, 242.59985912033102]","[[0.3291620314121246, 0.2805612087249756], [0.3291620314121246, 0.2805612087249756]]","[[0.2877683043479919, 0.3017297387123108], [0.2877683043479919, 0.3017297387123108]]"
saccade,477.434,521.847,44.412999999999954,5,"[61.95039598868528, 61.95039598868528, 74.91972773212738, 202.0214752641459, 38.45659719730326]","[[0.3224573135375976, 0.2904492020606994], [0.3224573135375976, 0.2904492020606994], [0.323754221200943, 0.2943453788757324], [0.3274938464164734, 0.2877132296562195], [0.3279021978378296, 0.291075587272644]]","[[0.3200923502445221, 0.288226842880249], [0.3200923502445221, 0.288226842880249], [0.3179551661014557, 0.29120534658432], [0.3241395354270935, 0.2883966565132141], [0.3239677548408508, 0.2899527251720428]]"
saccade,532.95,655.084,122.1339999999999,12,"[37.1025341755322, 37.1025341755322, 26.603029291063386, 28.334058228849898, 61.7150465531117, 29.564746015425126, 23.76686320996766, 51.439412662601114, 31.933734314798553, 29.497127546893054, 83.8808541430976, 28.569543195863467]","[[0.3254618048667907, 0.2867730259895324], [0.3254618048667907, 0.2867730259895324], [0.3260787725448608, 0.2875838875770569], [0.3294486105442047, 0.2877865135669708], [0.32656329870224, 0.2895632684230804], [0.3258126378059387, 0.2887229323387146], [0.3234044909477234, 0.286645233631134], [0.3241764605045318, 0.287516176700592], [0.322599858045578, 0.2871164381504059], [0.3221908509731293, 0.2809860408306122], [0.3205305635929107, 0.2812176942825317], [0.3203841149806976, 0.281083732843399]]","[[0.320659190416336, 0.2861049473285675], [0.320659190416336, 0.2861049473285675], [0.3202516734600067, 0.2850184142589569], [0.320157378911972, 0.2812035381793976], [0.3201148808002472, 0.2825571298599243], [0.3187557160854339, 0.2823904156684875], [0.3175040781497955, 0.2823648750782013], [0.3179107010364532, 0.2763836681842804], [0.3186275362968445, 0.2754475176334381], [0.3200855851173401, 0.2726689875125885], [0.3194200992584228, 0.2704331278800964], [0.3174237906932831, 0.2687090039253235]]"
saccade,666.187,677.29,11.102999999999952,2,"[41.05006528938835, 41.05006528938835]","[[0.3220792114734649, 0.279237151145935], [0.3220792114734649, 0.279237151145935]]","[[0.3186970055103302, 0.276137501001358], [0.3186970055103302, 0.276137501001358]]"
fixation,688.393,699.497,11.103999999999928,2,"[4.972215811469854, 4.972215811469854]","[[0.3308459818363189, 0.2811340391635895], [0.3308459818363189, 0.2811340391635895]]","[[0.3313077092170715, 0.2741577625274658], [0.3313077092170715, 0.2741577625274658]]"
