type,start_time,end_time,duration,size,angular_velocities,positionLeft,positionRight
fixation,0.0,11.103,11.103,2,"[0.0, 0.0]","[[0.2492505460977554, 0.1085604354739189], [0.2492505460977554, 0.1085604354739189]]","[[0.2381168901920318, 0.106486290693283], [0.2381168901920318, 0.106486290693283]]"
fixation,22.206,44.413,22.206999999999997,3,"[12.27546294900189, 12.27546294900189, 3.112472707559725]","[[0.2496382445096969, 0.1080142557621002], [0.2496382445096969, 0.1080142557621002], [0.2571415305137634, 0.1085529699921608]]","[[0.2551380395889282, 0.1109287962317466], [0.2551380395889282, 0.1109287962317466], [0.2593898177146911, 0.1062143146991729]]"
saccade,55.516,233.166,177.65,17,"[50.611327368909855, 50.611327368909855, 66.06828171432943, 59.65048296040009, 45.33951200467235, 46.75498018112284, 48.57069040708109, 40.49546658930092, 49.19932268767549, 49.02304909613404, 40.62842126343236, 47.58446300492567, 74.49861651736985, 36.468405319060984, 32.32495211129627, 47.03294600262688, 22.09055011378266]","[[0.2693416178226471, 0.1057882308959961], [0.2693416178226471, 0.1057882308959961], [0.2682212293148041, 0.0986183732748031], [0.2680474519729614, 0.0958065018057823], [0.2675538957118988, 0.086459532380104], [0.2692471444606781, 0.0887040644884109], [0.268790990114212, 0.0889464542269706], [0.2696734368801117, 0.0899590402841568], [0.2693715989589691, 0.0873898118734359], [0.268329918384552, 0.0867440998554229], [0.2695378363132477, 0.0882631614804267], [0.268088549375534, 0.0840798914432525], [0.2669935822486877, 0.0810718536376953], [0.2662307620048523, 0.0781952962279319], [0.266895592212677, 0.0804101377725601], [0.2681648433208465, 0.0879140496253967], [0.2688806056976318, 0.0918426066637039]]","[[0.2678332924842834, 0.0921391919255256], [0.2678332924842834, 0.0921391919255256], [0.2681159675121307, 0.0870214775204658], [0.2702422738075256, 0.0863859802484512], [0.2692114114761352, 0.0818769931793212], [0.2700871527194977, 0.0794269368052482], [0.2689459323883056, 0.0813555717468261], [0.2684230208396911, 0.0817958936095237], [0.2666861116886139, 0.0827572718262672], [0.2656250298023224, 0.0815254151821136], [0.2659671902656555, 0.0836965292692184], [0.2658060789108276, 0.0833372622728347], [0.2648358345031738, 0.0813636109232902], [0.2626388072967529, 0.0807695090770721], [0.2622750103473663, 0.0763057842850685], [0.2628987431526184, 0.071506917476654], [0.2642848789691925, 0.0701930150389671]]"
saccade,244.269,333.094,88.82499999999999,9,"[43.23610381122863, 43.23610381122863, 23.438261329250363, 35.739318731757834, 111.69428510684341, 73.88100967566163, 31.55718913918155, 21.21394644161315, 47.21837766522681]","[[0.3355098664760589, 0.0840711444616317], [0.3355098664760589, 0.0840711444616317], [0.3924337923526764, 0.0719139575958252], [0.4566065669059753, 0.0729907974600792], [0.5124487280845642, 0.0805508345365524], [0.5229042768478394, 0.0875236019492149], [0.5212631225585938, 0.085236556828022], [0.5187949538230896, 0.0838409513235092], [0.518810510635376, 0.080806165933609]]","[[0.32842817902565, 0.0782565474510192], [0.32842817902565, 0.0782565474510192], [0.3897110223770141, 0.0800729021430015], [0.4532396793365478, 0.0887365415692329], [0.507893443107605, 0.0919481068849563], [0.5237242579460144, 0.0931918248534202], [0.5250195264816284, 0.0910073667764663], [0.5225308537483215, 0.0936069712042808], [0.5186357498168945, 0.089931383728981]]"
saccade,344.197,355.3,11.103000000000009,2,"[28.063573176554705, 28.063573176554705]","[[0.5181548595428467, 0.0754102915525436], [0.5181548595428467, 0.0754102915525436]]","[[0.5170274376869202, 0.0802320390939712], [0.5170274376869202, 0.0802320390939712]]"
fixation,366.403,499.641,133.238,13,"[17.310903564450527, 17.310903564450527, 13.56848593830329, 3.8517305305401774, 8.428410140985402, 8.2675355382643, 8.022734216664247, 6.672243105594548, 6.575315583220023, 1.4037208647389736, 10.239644221955922, 8.128785343469712, 8.194459124195054]","[[0.5188352465629578, 0.0786122232675552], [0.5188352465629578, 0.0786122232675552], [0.5189687609672546, 0.0815990567207336], [0.5173915028572083, 0.0789681077003479], [0.5163960456848145, 0.0785395726561546], [0.5170001983642578, 0.0771214365959167], [0.5157214999198914, 0.078653946518898], [0.5155616998672485, 0.078949324786663], [0.515314519405365, 0.0808624550700187], [0.5153089165687561, 0.0834767296910286], [0.5136799812316895, 0.0845919847488403], [0.5142547488212585, 0.0847622081637382], [0.5164123177528381, 0.0802737027406692]]","[[0.5191305875778198, 0.0841035991907119], [0.5191305875778198, 0.0841035991907119], [0.5183192491531372, 0.0851331576704979], [0.5167838335037231, 0.0853540375828743], [0.5147574543952942, 0.0900995060801506], [0.5139104723930359, 0.0882101133465766], [0.5151786208152771, 0.0843496918678283], [0.5171217918395996, 0.0860565528273582], [0.5168349742889404, 0.0890414044260978], [0.514206051826477, 0.0909967422485351], [0.5095379948616028, 0.0893206149339675], [0.5100933313369751, 0.0899071842432022], [0.5116530060768127, 0.0886365324258804]]"
fixation,510.744,532.95,22.206000000000017,3,"[17.631758618007886, 17.631758618007886, 13.309426295479444]","[[0.5383936762809753, 0.0694029927253723], [0.5383936762809753, 0.0694029927253723], [0.5494450926780701, 0.0696091800928115]]","[[0.5395045280456543, 0.0838181674480438], [0.5395045280456543, 0.0838181674480438], [0.5486222505569458, 0.0854472294449806]]"
saccade,544.053,577.363,33.31000000000006,4,"[28.293530633439282, 28.293530633439282, 22.870667876777336, 20.497579570266133]","[[0.5502412915229797, 0.0604312755167484], [0.5502412915229797, 0.0604312755167484], [0.5459026098251343, 0.057659275829792], [0.5455406904220581, 0.0573113970458507]]","[[0.5491557717323303, 0.0781230852007865], [0.5491557717323303, 0.0781230852007865], [0.5496313571929932, 0.0696744471788406], [0.5493900775909424, 0.069424882531166]]"
fixation,588.466,688.394,99.928,10,"[6.230935663622031, 6.230935663622031, 10.582582421861428, 16.15406324966305, 12.036952876326664, 8.87315215661299, 9.391001386196397, 6.916058042157595, 16.866627774644726, 5.740476612924455]","[[0.5430013537406921, 0.0627016574144363], [0.5430013537406921, 0.0627016574144363], [0.5420861840248108, 0.0634457767009735], [0.5417380332946777, 0.0624001026153564], [0.5438186526298523, 0.0562629885971546], [0.5442948341369629, 0.0521877072751522], [0.5458694696426392, 0.0525103732943534], [0.5445855259895325, 0.0553849413990974], [0.5444967150688171, 0.0594695545732975], [0.5454841256141663, 0.0581393204629421]]","[[0.5506287217140198, 0.0735169947147369], [0.5506287217140198, 0.0735169947147369], [0.5525517463684082, 0.074259839951992], [0.5537703633308411, 0.0707361251115799], [0.5519413948059082, 0.0727711245417594], [0.5505107641220093, 0.0730028599500656], [0.5500169396400452, 0.0772012621164321], [0.5501437783241272, 0.0729509443044662], [0.5499899387359619, 0.069741703569889], [0.5529446005821228, 0.0686144679784774]]"
saccade,699.497,888.25,188.75300000000004,18,"[22.628575912264225, 22.628575912264225, 43.250256703232964, 106.50621619347312, 73.63254068190702, 67.03307426628734, 49.567267293572264, 26.858585771949677, 22.987862390383015, 21.72019016916605, 104.35129175580612, 115.14276244709751, 21.796080298423988, 38.28991996028517, 44.18658915658306, 57.37283822135118, 46.42370760306044, 34.9221188700174]","[[0.5960320830345154, 0.0611093007028102], [0.5960320830345154, 0.0611093007028102], [0.6340994238853455, 0.0667214840650558], [0.6472759246826172, 0.0641051828861236], [0.6486336588859558, 0.0707956328988075], [0.6469542384147644, 0.0715060159564018], [0.6475905179977417, 0.073708601295948], [0.649501621723175, 0.0713413059711456], [0.6501593589782715, 0.0700579807162284], [0.6523086428642273, 0.0702126696705818], [0.645991325378418, 0.0700957477092742], [0.6443397402763367, 0.0704622119665145], [0.6413058042526245, 0.070755735039711], [0.6428094506263733, 0.0695432871580123], [0.6443096399307251, 0.0651432797312736], [0.6416055560112, 0.0637503638863563], [0.6403813362121582, 0.0621022097766399], [0.6398798227310181, 0.0625233650207519]]","[[0.5939186811447144, 0.0811667516827583], [0.5939186811447144, 0.0811667516827583], [0.6324880719184875, 0.0881825983524322], [0.649242103099823, 0.0882574766874313], [0.6502885222434998, 0.0901389047503471], [0.6494330763816833, 0.0935793370008468], [0.6485689282417297, 0.0945105627179145], [0.648978590965271, 0.0969228968024253], [0.6499921679496765, 0.092059388756752], [0.6460369825363159, 0.0919141247868537], [0.6443014144897461, 0.0912395045161247], [0.6450762152671814, 0.0893444046378135], [0.6460039615631104, 0.0879263803362846], [0.6474408507347107, 0.0872469916939735], [0.6463518142700195, 0.092585414648056], [0.6450638771057129, 0.0910896435379982], [0.6445907354354858, 0.0906556770205497], [0.644331693649292, 0.0873439460992813]]"
saccade,899.353,921.559,22.206000000000017,3,"[24.70446615338034, 24.70446615338034, 23.75814244710096]","[[0.6445360779762268, 0.0723478570580482], [0.6445360779762268, 0.0723478570580482], [0.6407435536384583, 0.0713446512818336]]","[[0.6382047533988953, 0.0921565219759941], [0.6382047533988953, 0.0921565219759941], [0.6398106813430786, 0.0948267057538032]]"
saccade,932.663,943.766,11.102999999999952,2,"[32.03064090887041, 32.03064090887041]","[[0.6406633257865906, 0.0641659572720527], [0.6406633257865906, 0.0641659572720527]]","[[0.639773428440094, 0.0959224253892898], [0.639773428440094, 0.0959224253892898]]"
saccade,954.869,1077.003,122.1339999999999,12,"[67.79045688864916, 67.79045688864916, 28.25083010414186, 46.78169604060026, 31.560214999797747, 63.53085937753151, 64.48518912362744, 66.63573429791873, 38.93854878501662, 30.967276211607196, 32.44735379435309, 21.761216798767112]","[[0.6446958780288696, 0.0687592104077339], [0.6446958780288696, 0.0687592104077339], [0.6445415019989014, 0.06110280752182], [0.6563998460769653, 0.0540610328316688], [0.677818238735199, 0.0562704429030418], [0.6949226260185242, 0.0623528249561786], [0.6932269334793091, 0.0694431662559509], [0.6987727284431458, 0.0724189728498458], [0.7109329700469971, 0.0787415280938148], [0.7228370904922485, 0.0814777463674545], [0.7228094339370728, 0.0863339081406593], [0.7173812985420227, 0.0805102363228797]]","[[0.6249746680259705, 0.0818010196089744], [0.6249746680259705, 0.0818010196089744], [0.6254495978355408, 0.0803549215197563], [0.6273081302642822, 0.0822297781705856], [0.6443876624107361, 0.106232963502407], [0.6710691452026367, 0.1141446754336357], [0.7022793292999268, 0.1227567866444587], [0.7170968651771545, 0.1133179143071174], [0.7213858962059021, 0.1135098710656166], [0.7367650866508484, 0.1044977307319641], [0.7167683243751526, 0.1142124012112617], [0.7116618156433105, 0.1097398102283477]]"
saccade,1088.106,1132.519,44.41300000000001,5,"[21.301174877414297, 21.301174877414297, 32.06530618740828, 22.53423460756855, 29.326470402300977]","[[0.7164492607116699, 0.0750496238470077], [0.7164492607116699, 0.0750496238470077], [0.7178874015808105, 0.0725715309381485], [0.7161463499069214, 0.0762262493371963], [0.7154398560523987, 0.077504888176918]]","[[0.701571524143219, 0.1182426959276199], [0.701571524143219, 0.1182426959276199], [0.6991075873374939, 0.1239064335823059], [0.6984044909477234, 0.1272865682840347], [0.7015005350112915, 0.1201981678605079]]"
fixation,1143.622,1165.828,22.205999999999904,3,"[12.71935979066773, 12.71935979066773, 17.469340824765585]","[[0.7135857343673706, 0.0721088200807571], [0.7135857343673706, 0.0721088200807571], [0.714787483215332, 0.0660920888185501]]","[[0.7046401500701904, 0.1117586866021156], [0.7046401500701904, 0.1117586866021156], [0.7050339579582214, 0.1131400167942047]]"
saccade,1176.931,1199.138,22.20699999999988,3,"[41.22079463702092, 41.22079463702092, 36.77032718136173]","[[0.7184045910835266, 0.0685749053955078], [0.7184045910835266, 0.0685749053955078], [0.7145493030548096, 0.0747138634324073]]","[[0.7058371305465698, 0.1124347075819969], [0.7058371305465698, 0.1124347075819969], [0.7062138915061951, 0.1141999363899231]]"
fixation,1210.241,1221.344,11.103000000000065,2,"[12.128039469577802, 12.128039469577802]","[[0.7127425670623779, 0.0711502656340599], [0.7127425670623779, 0.0711502656340599]]","[[0.7048987746238708, 0.1217156127095222], [0.7048987746238708, 0.1217156127095222]]"
