type,start_time,end_time,duration,size,angular_velocities,positionLeft,positionRight
fixation,0.0,1965.253,1965.253,13,"[0.0, 0.0, 5.110214277903702, 0.0, 0.0, 3.715608091569878, 0.0, 3.726551527503343, 19.604651855216535, 0.0, 15.291500152485835, 0.0, 0.0]","[[1.008458375930786, -0.0024227185640484], [1.008458375930786, -0.0024227185640484], [1.0095356702804563, -0.0042465692386031], [1.0095356702804563, -0.0042465692386031], [1.0095356702804563, -0.0042465692386031], [1.0108636617660522, -0.0141644934192299], [1.0108636617660522, -0.0141644934192299], [1.012629508972168, -0.0084517551586031], [1.014087200164795, -0.0103924591094255], [1.014087200164795, -0.0103924591094255], [0.0811100304126739, 0.5339059829711914], [0.0811100304126739, 0.5339059829711914], [0.0811100304126739, 0.5339059829711914]]","[[0.3308514952659607, 0.1110997572541236], [0.3308514952659607, 0.1110997572541236], [0.3308514952659607, 0.1110997572541236], [0.3308514952659607, 0.1110997572541236], [0.3361859619617462, 0.1267772912979126], [0.3361859619617462, 0.1267772912979126], [0.3361859619617462, 0.1267772912979126], [0.3169140517711639, 0.0769456550478935], [0.3169140517711639, 0.0769456550478935], [0.3169140517711639, 0.0769456550478935], [0.0765825510025024, 0.5469316840171814], [0.0708501860499382, 0.5406098961830139], [0.0708501860499382, 0.5406098961830139]]"
fixation,1976.356,1998.562,22.205999999999904,3,"[0.0, 0.0, 0.0]","[[0.0795567408204078, 0.5324675440788269], [0.0795567408204078, 0.5324675440788269], [0.0795567408204078, 0.5324675440788269]]","[[0.066576562821865, 0.5338278412818909], [0.066576562821865, 0.5338278412818909], [0.0645294338464737, 0.5367392897605896]]"
fixation,2009.665,2031.872,22.207000000000107,3,"[0.0, 0.0, 0.0]","[[0.0803815424442291, 0.535342276096344], [0.0803815424442291, 0.535342276096344], [0.0803815424442291, 0.535342276096344]]","[[0.064044065773487, 0.5427395701408386], [0.064044065773487, 0.5427395701408386], [0.0666562169790268, 0.5440633893013]]"
fixation,2042.975,2065.181,22.20600000000013,3,"[0.0, 0.0, 0.0]","[[0.0665969774127006, 0.5266767144203186], [0.0665969774127006, 0.5266767144203186], [0.0665969774127006, 0.5266767144203186]]","[[0.0664083063602447, 0.5477725863456726], [0.0664083063602447, 0.5477725863456726], [0.0636884421110153, 0.5467288494110107]]"
fixation,2076.284,2098.49,22.205999999999676,3,"[0.0, 0.0, 0.0]","[[0.0597547627985477, 0.6080801486968994], [0.0597547627985477, 0.6080801486968994], [0.0597547627985477, 0.6080801486968994]]","[[0.0635686218738555, 0.5936064720153809], [0.0635686218738555, 0.5936064720153809], [0.0697198286652565, 0.6051088571548462]]"
fixation,2109.593,2131.8,22.207000000000335,3,"[0.0, 0.0, 0.0]","[[0.1076761856675148, 0.8934139609336853], [0.1076761856675148, 0.8934139609336853], [0.1076761856675148, 0.8934139609336853]]","[[0.0903103649616241, 0.9581508636474608], [0.0903103649616241, 0.9581508636474608], [0.0903103649616241, 0.9581508636474608]]"
saccade,2142.903,2154.006,11.103000000000065,2,"[177.6481301939995, 177.6481301939995]","[[0.0762132927775383, 0.9672199487686156], [0.0762132927775383, 0.9672199487686156]]","[[0.0868232101202011, 0.9868868589401244], [0.0868232101202011, 0.9868868589401244]]"
saccade,2165.109,2187.315,22.20600000000013,3,"[168.6474825241879, 168.6474825241879, 180.12578336600257]","[[0.0750881284475326, 0.9754009246826172], [0.0750881284475326, 0.9754009246826172], [0.0716457515954971, 0.9696730375289916]]","[[0.0855984762310981, 0.9915997982025146], [0.0855984762310981, 0.9915997982025146], [0.0837210565805435, 1.0013740062713623]]"
saccade,2198.418,2220.625,22.20699999999988,3,"[102.03589533979134, 102.03589533979134, 147.3680893018495]","[[0.0675157606601715, 0.9721169471740724], [0.0675157606601715, 0.9721169471740724], [0.0658868849277496, 0.9793721437454224]]","[[0.0847928449511528, 1.0031172037124634], [0.0847928449511528, 1.0031172037124634], [0.0818206146359443, 0.9988111853599548]]"
saccade,2231.728,2253.934,22.20600000000013,3,"[62.381172536726694, 62.381172536726694, 75.96128600897016]","[[0.0688348188996315, 0.983398973941803], [0.0688348188996315, 0.983398973941803], [0.0662706643342971, 0.98080712556839]]","[[0.0787518173456192, 0.9940085411071776], [0.0787518173456192, 0.9940085411071776], [0.0803094580769538, 0.99801903963089]]"
