type,start_time,end_time,duration,size,angular_velocities,positionLeft,positionRight
fixation,0.0,11.103,11.103,2,"[0.0, 0.0]","[[0.7820393443107605, 0.2630309164524078], [0.7820393443107605, 0.2630309164524078]]","[[0.8962128758430481, -0.0219764411449432], [0.8962128758430481, -0.0219764411449432]]"
saccade,22.207,33.31,11.103000000000002,2,"[53.70677857765813, 53.70677857765813]","[[0.7408357858657837, 0.3337812125682831], [0.7408357858657837, 0.3337812125682831]]","[[0.7713685035705566, 0.2223164588212967], [0.7713685035705566, 0.2223164588212967]]"
saccade,44.413,66.619,22.206000000000003,3,"[28.368091821888473, 28.368091821888473, 32.24761518417705]","[[0.7392399311065674, 0.3367004990577698], [0.7392399311065674, 0.3367004990577698], [0.7432053685188293, 0.3265178799629211]]","[[0.7247412204742432, 0.2967230379581451], [0.7247412204742432, 0.2967230379581451], [0.7255334258079529, 0.3018872141838074]]"
saccade,77.722,88.825,11.103000000000009,2,"[50.5439500157732, 50.5439500157732]","[[0.7401297092437744, 0.3212714195251465], [0.7401297092437744, 0.3212714195251465]]","[[0.7233428955078125, 0.3118297755718231], [0.7233428955078125, 0.3118297755718231]]"
fixation,99.928,111.032,11.104,2,"[12.766718987563292, 12.766718987563292]","[[0.7378323674201965, 0.3132290840148926], [0.7378323674201965, 0.3132290840148926]]","[[0.7242565155029297, 0.312883198261261], [0.7242565155029297, 0.312883198261261]]"
fixation,122.135,144.341,22.206000000000003,3,"[0.9261929027155368, 0.9261929027155368, 13.939061614098263]","[[0.7392569184303284, 0.3247765004634857], [0.7392569184303284, 0.3247765004634857], [0.7392604947090149, 0.3316308259963989]]","[[0.7281935811042786, 0.310413122177124], [0.7281935811042786, 0.310413122177124], [0.7281935811042786, 0.310413122177124]]"
fixation,155.444,177.65,22.206000000000017,3,"[8.557525587030785, 8.557525587030785, 16.97220160274295]","[[0.7410135865211487, 0.3343618512153625], [0.7410135865211487, 0.3343618512153625], [0.7397753596305847, 0.3295340240001678]]","[[0.7260257005691528, 0.3212569952011108], [0.7260257005691528, 0.3212569952011108], [0.7260257005691528, 0.3212569952011108]]"
fixation,188.753,277.578,88.82499999999999,9,"[5.376870617072606, 5.376870617072606, 7.767268402118169, 15.954613932824959, 2.3753789830955205, 5.736540049273693, 15.790244894601761, 4.372957611799852, 13.325480180743847]","[[0.737907886505127, 0.3310323357582092], [0.737907886505127, 0.3310323357582092], [0.7363280057907104, 0.3277371823787689], [0.7367746829986572, 0.3283071219921112], [0.736282467842102, 0.3265840113162994], [0.7379217743873596, 0.3274223804473877], [0.7378880977630615, 0.3256230056285858], [0.736984372138977, 0.3170813024044037], [0.7376771569252014, 0.3176222443580627]]","[[0.7253901362419128, 0.3258278369903564], [0.7253901362419128, 0.3258278369903564], [0.7253901362419128, 0.3258278369903564], [0.7258829474449158, 0.3245913982391357], [0.7269721627235413, 0.3259661793708801], [0.7269721627235413, 0.3259661793708801], [0.7260787487030029, 0.3281052708625793], [0.7235023975372314, 0.3299860656261444], [0.7235023975372314, 0.3299860656261444]]"
fixation,288.682,310.888,22.20599999999996,3,"[0.0, 0.0, 7.812165047871018]","[[0.7370968461036682, 0.3225548267364502], [0.7370968461036682, 0.3225548267364502], [0.7377398014068604, 0.3197280168533325]]","[[0.722216010093689, 0.3344170451164245], [0.722216010093689, 0.3344170451164245], [0.722216010093689, 0.3344170451164245]]"
fixation,321.991,333.094,11.103000000000009,2,"[0.0, 0.0]","[[0.7407493591308594, 0.2800890803337097], [0.7407493591308594, 0.2800890803337097]]","[[0.7254763245582581, 0.2796263396739959], [0.7254763245582581, 0.2796263396739959]]"
